,0
0,7.9104233
1,6.6362348
2,8.518502
3,5.6633153
4,6.2050557
5,5.210421
6,4.735965
7,7.096112
8,7.208254
9,6.6404433
10,4.0609283
11,7.166243
12,6.056481
13,7.149959
14,7.48584
15,5.553041
16,2.851057
17,2.6569903
18,2.698222
19,3.8024383
20,6.034164
21,5.1295433
22,5.053975
23,4.679951
24,5.043416
25,2.3859072
26,4.2714653
27,2.192367
28,8.672314
29,7.3520584
30,0.90476626
31,4.7090693
32,8.655471
33,4.947279
34,3.455459
35,7.4358616
36,8.974684
37,6.686677
38,9.740368
39,9.174402
40,5.958918
41,5.919005
42,5.0242915
43,15.939481
44,7.9616365
45,4.232695
46,4.4348354
47,4.207254
48,3.8276746
49,1.7878762
50,2.7984154
51,4.5032935
52,5.0477977
53,5.1345162
54,3.4211633
55,5.556848
56,2.0801182
57,1.5571735
58,3.0949144
59,0.98825186
60,1.2940227
61,0.88168025
62,1.1713083
63,9.544925
64,1.069292
65,1.9843024
66,2.5313249
67,1.1111758
68,2.9296896
69,3.1905086
70,9.861802
71,8.978242
72,20.69489
73,10.428928
74,8.991723
75,8.262551
76,7.6482334
77,10.343784
78,5.966875
79,4.8095756
80,7.5600595
81,8.925965
82,9.396831
83,10.640042
84,10.422456
85,12.441375
86,6.735973
87,5.422717
88,8.931614
89,8.464759
90,7.081983
91,6.914626
92,6.3374968
93,5.628029
94,7.4412856
95,6.149152
96,9.016202
97,5.148478
98,9.278664
99,8.46054
100,7.92336
101,8.532291
102,7.039208
103,6.473431
104,6.6032
105,7.0863853
106,7.427822
107,4.573541
108,3.7096982
109,4.4049134
110,6.291169
111,5.356365
112,4.9687343
113,13.118766
114,8.329927
115,11.776456
116,7.860145
117,13.028545
118,7.206401
119,8.540422
120,8.891488
121,7.115368
122,8.7880945
123,3.0446258
124,3.1338494
125,3.3539207
126,5.864269
127,4.781235
128,6.148342
129,8.591197
130,6.6436954
131,7.3507743
132,5.758413
133,6.607824
134,8.95603
135,5.3398943
136,6.8179135
137,7.425164
138,4.900965
139,4.6647515
140,7.5044737
141,11.179215
142,8.277434
143,6.0590353
144,10.051406
145,7.3142247
146,8.293689
147,6.859899
148,6.912302
149,6.0040812
150,5.78252
151,5.1864696
152,7.3306417
153,5.617538
154,4.5717273
155,5.7770224
156,7.4635434
157,5.9686756
158,7.844396
159,5.8735876
160,5.090581
161,3.9763734
162,3.5081115
163,4.561005
164,7.108191
165,5.063023
166,6.274778
167,6.5834146
168,6.013406
169,5.702255
170,6.905623
171,6.3072205
172,5.2528
173,3.692154
174,6.184849
175,5.133815
176,6.759053
177,10.271788
178,5.7752166
179,8.841461
180,7.151442
181,6.979134
182,10.310412
183,13.456509
184,6.7516975
185,7.4104915
186,7.279086
187,5.2800183
188,16.932766
189,11.05506
190,9.618056
191,6.975494
192,12.165842
193,5.4226418
194,6.503245
195,5.066207
196,4.577005
197,4.273803
198,4.615061
199,4.751009
200,6.3104506
201,4.7665434
202,5.1308155
203,5.117914
204,9.433084
205,7.7031565
206,6.1681905
207,4.586168
208,9.010811
209,9.83719
210,10.2742605
211,7.1793118
212,5.459944
213,8.341653
214,8.462737
215,7.781117
216,3.689777
217,6.820766
218,11.634963
219,9.085301
220,10.719333
221,12.299426
222,8.8017235
223,6.7867436
224,9.505012
225,8.780369
226,11.855574
227,10.4965925
228,9.353779
229,11.519241
230,12.037581
231,12.493369
232,12.234702
233,9.043894
234,11.127315
235,10.451654
236,10.04901
237,9.866708
238,13.473811
239,10.107981
240,9.893772
241,5.986133
242,9.884176
243,10.637653
244,9.553335
245,14.90415
246,13.475654
247,10.844716
248,10.772482
249,9.93582
250,11.0231
251,12.167035
252,9.727813
253,12.244576
254,10.93724
