,0
0,49.99871
1,45.96891
2,48.31368
3,56.80537
4,48.161655
5,40.694157
6,43.9754
7,45.3796
8,49.872776
9,51.92753
10,50.707428
11,44.804695
12,54.076744
13,47.617226
14,42.956257
15,48.208466
16,54.656925
17,44.8821
18,51.183857
19,51.026173
20,42.29759
21,50.890625
22,35.476658
23,31.28687
24,33.806927
25,71.303276
26,66.563576
27,72.494194
28,43.0121
29,34.901707
30,56.19701
31,44.78288
32,43.00652
33,30.397842
34,38.172565
35,40.98205
36,40.998913
37,34.90631
38,45.47557
39,46.16131
40,300.0349
41,300.4216
42,287.85162
43,113.33409
44,181.6585
45,32.22365
46,29.354942
47,31.935911
48,32.35396
49,41.4877
50,49.422493
51,32.987762
52,31.505632
53,31.580544
54,33.785313
55,30.256247
56,37.26059
57,45.472378
58,51.845516
59,54.45776
60,55.993042
61,51.679756
62,50.335358
63,67.17054
64,49.352165
65,49.961834
66,60.452713
67,56.650093
68,46.49137
69,56.420544
70,34.986874
71,37.093185
72,32.435326
73,40.84017
74,35.723923
75,38.53365
76,31.798824
77,44.423325
78,33.410297
79,30.589945
80,37.154003
81,41.504147
82,29.089054
83,35.60819
84,37.980465
85,38.181065
86,30.966448
87,30.756985
88,32.280914
89,28.653276
90,40.516994
91,43.24895
92,53.748966
93,42.100754
94,48.21675
95,54.782944
96,43.041626
97,45.338615
98,49.331905
99,41.077972
100,41.34279
101,37.854195
102,55.995106
103,56.01764
104,52.140747
105,44.532513
106,58.77056
107,52.27828
108,56.77539
109,36.898987
110,45.10057
111,61.94363
112,35.483162
113,48.248325
114,49.643536
115,90.70152
116,53.253323
117,55.68907
118,37.51994
119,43.489758
120,32.016804
121,56.514755
122,38.47273
123,27.437365
124,31.172644
125,24.42156
126,27.178389
127,48.557606
128,23.670181
129,29.566341
130,56.643414
131,32.258682
132,34.440464
133,26.012745
134,32.860012
135,30.310232
136,29.165005
137,33.43216
138,30.500942
139,29.296255
140,50.291462
141,76.46808
142,61.50871
143,39.77843
144,50.335396
145,49.99071
146,43.397625
147,49.199528
148,48.60773
149,39.490993
150,37.67856
151,45.690598
152,40.44971
153,34.058273
154,40.477657
155,26.093039
156,37.45038
157,30.297037
158,32.78137
159,27.081793
160,39.02782
161,27.925932
162,28.752087
163,26.705805
164,31.72754
165,25.575499
166,26.78223
167,29.542986
168,28.745335
169,25.979345
170,29.074022
171,25.53126
172,24.52118
173,29.158167
