총_유동인구_수,총_상주인구_수,총_직장_인구_수,운영_영업_개월_평균,폐업_영업_개월_평균,당월_매출_금액,점포수,임대료,공실률
260044,1332,326,82,40,5621782107,114,49.6,4.6
81676,580,94,86,49,7117334501,114,49.6,4.6
368093,1465,286,84,36,6637882229,173,49.6,4.6
26850,99,74,109,46,1753310003,19,49.6,4.6
859036,1570,2579,69,47,79358115813,727,49.6,4.6
335998,1192,898,109,39,7583944291,178,49.6,4.6
596097,1101,9,73,36,1869588357,58,49.6,4.6
123289,1778,337,94,46,6973590682,120,49.6,4.6
108918,2088,97,98,45,4427742266,141,49.6,4.6
205902,3213,96,95,39,2139107714,89,49.6,4.6
201305,2369,210,61,37,2005167023,72,49.6,4.6
39753,590,266,88,50,703867928,40,49.6,4.6
307133,4280,76,116,49,2068870916,84,49.6,4.6
167675,2619,478,94,50,3193400870,67,49.6,4.6
379673,3872,1230,87,42,7816242145,229,49.6,4.6
268413,479,336,85,41,22984419796,300,49.6,2.6
163726,390,126,102,49,5094444661,146,49.6,2.6
58968,722,247,82,40,7759786387,105,49.6,2.6
170987,824,1294,87,54,5622747013,62,49.6,2.6
194931,733,6,89,46,11801325762,279,49.6,2.6
354072,432,19,111,67,242194963,30,49.6,2.6
780320,1015,190,93,53,8605130194,178,49.6,2.6
299803,2616,99,118,50,1351737975,59,37.2,4.2
452187,2078,1087,104,45,5426293448,136,37.2,4.2
344032,1005,1838,109,46,4930340513,116,37.2,4.2
333362,179,189,92,54,15728772963,195,70,2.6
176152,147,504,91,49,6326434923,159,70,2.6
895176,1479,50793,111,49,51442773156,1001,70,2.6
316778,2833,499,98,44,7354179557,146,37.1,7.5
242177,1913,301,101,46,9325611900,149,37.1,7.5
203974,2517,742,77,50,6095984337,111,37.1,7.5
320270,2527,827,88,44,1753547065,66,37.1,7.5
433217,2837,1429,77,39,14950644755,364,37.1,7.5
547626,1088,159,93,44,25267037475,334,37.1,7.5
367504,503,99,86,46,9056523683,199,37.1,7.5
429568,2544,230,97,37,1249488941,72,37.1,7.5
130377,544,124,99,48,9699195250,212,37.1,7.5
277362,2160,454,97,46,7616754203,213,37.1,7.5
258807,3533,152,85,44,6480158367,171,37.1,7.5
1044217,351,769,92,44,12621912239,370,34.6,10
158746,518,58,103,41,10592252655,138,34.6,10
555463,431,2745,98,46,13541765512,293,266.3,6.9
728791,2,28092,115,55,40755157705,393,266.3,6.9
158641,92,34330,151,54,11332384810,157,266.3,6.9
52523,986,2637,96,46,4091921742,69,266.3,6.9
4445995,37,18466,127,49,2.75E+11,2446,266.3,6.9
177676,1109,234,78,44,10128647022,102,30.4,5
314628,3279,387,79,39,18774374355,331,30.4,5
