총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,총_상주인구_수,남성_상주인구_수,여성_상주인구_수,연령대_10_상주인구_수,연령대_20_상주인구_수,연령대_30_상주인구_수,연령대_40_상주인구_수,연령대_50_상주인구_수,연령대_60_이상_상주인구_수,남성연령대_10_상주인구_수,남성연령대_20_상주인구_수,남성연령대_30_상주인구_수,남성연령대_40_상주인구_수,남성연령대_50_상주인구_수,남성연령대_60_이상_상주인구_수,여성연령대_10_상주인구_수,여성연령대_20_상주인구_수,여성연령대_30_상주인구_수,여성연령대_40_상주인구_수,여성연령대_50_상주인구_수,여성연령대_60_이상_상주인구_수,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수,운영_영업_개월_평균,폐업_영업_개월_평균,서울_운영_영업_개월_평균,서울_폐업_영업_개월_평균,집객시설_수,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,주중_매출_건수,주말_매출_건수,남성_매출_금액,남성_매출_건수,여성_매출_금액,여성_매출_건수,점포수,상권_변화_지표_HH,상권_변화_지표_HL,상권_변화_지표_LH,상권_변화_지표_LL,임대료,공실률
1078154,556415,521736,63220,353808,235924,168800,157170,99228,1577,764,813,83,606,391,200,171,126,43,266,203,118,79,55,40,340,188,82,92,71,2593,911,1682,10,792,1039,383,205,164,2,168,371,169,79,122,8,624,668,214,126,42,71,48,94,46,41,74684358607,3966017,48219046977,26465311630,2571027,1394990,33802764234,1784205,38001705548,2117802,712,0,0,1,0,50.2,7.2
335201,175040,160162,12087,114949,77450,55264,50952,24502,1457,714,743,41,620,404,181,142,69,21,271,212,112,67,31,20,349,192,69,75,38,300,96,204,2,36,49,66,95,52,1,7,22,23,26,17,1,29,27,43,69,35,89,38,94,46,5,6154599626,488573,4232018816,1922580810,327711,160862,3102696793,262604,2483960292,209923,164,0,0,0,1,50.2,7.2
381295,223109,158185,8583,77033,100744,91333,71406,32198,1241,593,648,35,488,328,175,159,56,18,212,171,98,74,20,17,276,157,77,85,36,876,549,327,2,171,269,225,153,56,1,84,180,141,99,44,1,87,89,84,54,12,115,41,94,46,9,6978106772,529018,4643661192,2334445580,363927,165091,4002332401,327271,2345137564,186702,166,0,1,0,0,50.2,7.2
325601,182857,142744,10242,87783,81585,65761,55946,24282,1066,522,544,27,462,307,130,95,45,14,208,156,81,43,20,13,254,151,49,52,25,9,4,5,0,1,1,2,5,0,0,1,0,1,2,0,0,0,1,1,3,0,74,38,94,46,1,2026139698,186099,1393262439,632877259,126787,59312,1015827088,100601,850291057,80420,58,0,0,0,1,50.2,7.2
20972,10817,10155,802,8035,4558,2856,2961,1760,100,48,52,10,32,21,13,11,13,5,14,11,7,5,6,5,18,10,6,6,7,86,47,39,0,21,23,23,13,6,0,12,13,13,6,3,0,9,10,10,7,3,95,51,94,46,5,1556207852,58787,1080644514,475563338,41244,17543,696948482,29640,798376906,27962,18,1,0,0,0,50.2,7.2
173660,96866,76793,6356,52613,39480,32053,28652,14507,1314,642,672,56,572,357,132,111,86,30,258,184,80,55,35,26,314,173,52,56,51,351,230,121,2,65,95,81,74,34,2,35,65,51,47,30,0,30,30,30,27,4,81,42,94,46,1,3913101578,209103,2651221170,1261880408,141199,67904,2020031967,118723,1600597276,84751,110,0,0,0,1,50.2,7.2
79702,48450,31256,3792,32157,16778,13658,10164,3155,578,282,296,15,273,166,54,43,27,8,123,86,33,21,11,7,150,80,21,22,16,105,59,46,0,38,29,20,10,8,0,19,21,9,4,6,0,19,8,11,6,2,91,50,94,46,2,4391151082,345351,3334279926,1056871156,264219,81132,2203634851,186809,1687361177,141214,110,0,0,1,0,50.2,7.2
209238,107003,102237,11228,45589,47885,44694,40624,19212,2514,1304,1210,59,556,701,578,565,55,30,276,407,289,276,26,29,280,294,289,289,29,516,304,212,2,68,127,145,105,69,2,30,67,81,63,61,0,38,60,64,42,8,100,52,94,46,2,2022284091,90640,1396338144,625945947,60820,29820,907947025,50400,682495568,31521,63,1,0,0,0,50.2,7.2
140674,68961,71716,5920,21804,35680,34555,31124,11595,2540,1264,1276,450,425,462,455,459,289,229,213,229,231,228,134,221,212,233,224,231,155,206,81,125,0,36,58,49,43,20,0,9,18,18,24,12,0,27,40,31,19,8,64,40,94,46,1,1960638530,96242,1384537378,576101152,65365,30877,730726278,43753,982459860,44088,67,0,0,0,1,50.2,7.2
271996,141906,130094,10267,56152,65115,58322,54940,27208,3254,1667,1587,239,690,703,699,784,139,123,345,355,392,392,60,116,345,348,307,392,79,90,61,29,0,9,24,27,15,15,0,4,16,13,14,14,0,5,8,14,1,1,97,42,94,46,1,3832055238,206919,2493196834,1338858404,138683,68236,1766057693,102257,1638028768,88431,87,0,1,0,0,50.2,7.2
70865,35075,35790,3877,14738,16505,14570,14023,7154,599,309,290,25,138,138,138,156,4,13,69,69,78,78,2,12,69,69,60,78,2,272,253,19,0,8,7,10,22,225,0,5,6,2,16,224,0,3,1,8,6,1,94,50,94,46,1,687522053,21948,482374005,205148048,15315,6633,244318202,8226,335237888,11569,39,0,0,1,0,50.2,7.2
381437,184754,196676,24104,65732,90314,88437,77787,35068,4292,2126,2166,521,887,913,912,907,152,271,442,448,450,448,67,250,445,465,462,459,85,92,41,51,0,8,8,33,32,11,0,0,3,15,16,7,0,8,5,18,16,4,115,54,94,46,5,1933238306,116380,1366355338,566882968,78759,37621,1054669124,70204,660644403,40953,86,1,0,0,0,50.2,7.2
