"Date","상권","임대료","임대료_예측_머신러닝","임대료_예측_딥러닝","임대료_차이_머신","임대료_차이_딥"
"2015_1","건대입구",50.2,43.9640666666667,49.7079576,6.23593333333334,0.492042400000003
"2015_1","경희대",49.6,42.952,48.6924654285714,6.648,0.90753457142857
"2015_1","공덕역",37.2,30.9813333333333,34.629322,6.21866666666667,2.570678
"2015_1","광화문",69.8,51.0606666666667,78.2579946666667,18.7393333333333,8.45799466666668
"2015_1","군자",38.5,35.7494,43.1630785,2.7506,4.6630785
"2015_1","동대문",34.8,46.0335,49.7579825,11.2335,14.9579825
"2015_1","명동",273.7,158.0282,291.99644,115.6718,18.29644
"2015_1","목동",30.5,27.68025,34.7601760833333,2.81975,4.26017608333333
"2015_1","사당",53.6,44.5711538461538,57.7090494615385,9.02884615384615,4.10904946153846
"2015_1","서초",30.6,27.50645,35.5898388,3.09355,4.9898388
"2015_1","성신여대",41.1,38.1810833333333,43.7262621666667,2.91891666666667,2.62626216666666
"2015_1","수유",56.8,45.1104166666667,56.6672009166667,11.6895833333333,0.132799083333332
"2015_1","신촌",60.2,42.6055,76.1639575,17.5945,15.9639575
"2015_1","영등포",33.6,32.4165555555556,44.5041112222222,1.18344444444445,10.9041112222222
"2015_1","용산",23.7,25.9361333333333,34.3745794666667,2.23613333333333,10.6745794666667
"2015_1","이태원",45.3,37.988,59.3604624444444,7.312,14.0604624444444
"2015_1","잠실",40.5,32.3416,42.6237384,8.1584,2.1237384
"2015_1","장안동",26.1,26.1686666666667,28.6680075238095,0.0686666666666653,2.56800752380952
"2015_1","종로",90.9,75.0738333333333,104.200188333333,15.8261666666667,13.3001883333333
"2015_1","천호",38.6,35.3599090909091,43.9218858181818,3.24009090909091,5.32188581818182
"2015_1","청담",69,47.5472727272727,69.9483161818182,21.4527272727273,0.948316181818186
"2015_1","청량리",43.4,35.883,46.340687,7.517,2.940687
"2015_1","충무로",29,45.53,37.3170205,16.53,8.3170205
"2015_1","테헤란로",46.4,36.9245675675676,48.9114543513514,9.47543243243243,2.51145435135135
"2015_1","혜화동",70.2,52.7774,66.3921526,17.4226,3.8078474
"2015_1","홍대합정",46.4,39.1939230769231,54.9831062307692,7.20607692307692,8.58310623076923
"2015_1","화곡",22.7,24.7696111111111,27.78792525,2.06961111111111,5.08792525
"2015_2","건대입구",51.7,47.1628,47.0092826666667,4.53720000000001,4.69071733333334
"2015_2","경희대",49.6,41.8112857142857,46.3955002857143,7.78871428571428,3.20449971428572
"2015_2","공덕역",39.9,32.4963333333333,38.7744053333333,7.40366666666667,1.12559466666666
"2015_2","광화문",69.8,46.215,70.4899866666667,23.585,0.68998666666667
"2015_2","군자",38.3,33.6822,35.4057415,4.6178,2.8942585
"2015_2","동대문",34.8,36.2505,43.6975495,1.45050000000001,8.8975495
"2015_2","명동",270.9,172.5962,287.370468,98.3038,16.470468
"2015_2","목동",30.4,27.1784166666667,33.9408204166667,3.22158333333333,3.54082041666667
"2015_2","사당",53.6,43.8036153846154,52.0042443846154,9.79638461538462,1.59575561538462
"2015_2","서초",30.7,27.21215,33.3744316,3.48785,2.6744316
"2015_2","성신여대",41.3,37.7029166666667,43.29906825,3.59708333333333,1.99906825
"2015_2","수유",55.3,45.99325,57.34567775,9.30674999999999,2.04567775
"2015_2","신촌",60.3,41.836,75.343785,18.464,15.043785
"2015_2","영등포",33.3,32.6871111111111,39.1884412222222,0.612888888888882,5.88844122222223
"2015_2","용산",23.7,23.441,30.5372647333333,0.259,6.83726473333333
"2015_2","이태원",45.2,38.9406666666667,49.1093521111111,6.25933333333334,3.9093521111111
"2015_2","잠실",40.6,34.0374,39.8750854,6.5626,0.724914600000005
"2015_2","장안동",26.1,24.8638571428571,28.0043747142857,1.23614285714286,1.90437471428571
"2015_2","종로",90.5,67.2195555555556,99.2794387777778,23.2804444444444,8.77943877777778
"2015_2","천호",38.6,34.4234545454545,38.1937539090909,4.17654545454545,0.406246090909093
"2015_2","청담",69,48.7991818181818,70.5862729090909,20.2008181818182,1.58627290909091
"2015_2","청량리",43.5,43.913,41.78941,0.412999999999997,1.71059
"2015_2","충무로",29,25.6665,34.2842735,3.3335,5.2842735
"2015_2","테헤란로",46.4,37.5525945945946,48.6349455135135,8.8474054054054,2.23494551351352
"2015_2","혜화동",70.2,55.4518,62.4681288,14.7482,7.7318712
"2015_2","홍대합정",46.3,40.85,56.2877163076923,5.45,9.98771630769231
"2015_2","화곡",22.7,23.7872777777778,26.7765190277778,1.08727777777778,4.07651902777778
"2015_3","건대입구",51.7,46.2892666666667,46.2293575333333,5.41073333333333,5.47064246666667
"2015_3","경희대",49.4,42.7308571428571,46.7477162857143,6.66914285714286,2.65228371428572
"2015_3","공덕역",39.9,31.843,39.9504116666667,8.057,0.050411666666669
"2015_3","광화문",70.3,47.996,72.3869266666667,22.304,2.08692666666667
"2015_3","군자",38.3,34.6611,35.3734928,3.63889999999999,2.9265072
"2015_3","동대문",34.8,36.604,42.1247935,1.804,7.3247935
"2015_3","명동",270,197.1106,282.10517,72.8894,12.10517
"2015_3","목동",30.4,27.0454166666667,34.2010870833333,3.35458333333333,3.80108708333334
"2015_3","사당",53.6,44.1876923076923,52.8609683076923,9.41230769230769,0.739031692307691
"2015_3","서초",30.7,27.1271,33.8498106,3.5729,3.1498106
"2015_3","성신여대",41.3,37.2331666666667,44.5129323333333,4.06683333333333,3.21293233333333
"2015_3","수유",54.9,47.0585,57.4749704166667,7.8415,2.57497041666667
"2015_3","신촌",60.3,42.337,74.5319975,17.963,14.2319975
"2015_3","영등포",33.5,32.1826666666667,38.6501374444444,1.31733333333333,5.15013744444445
"2015_3","용산",23.7,22.979,31.7416034666667,0.721,8.04160346666667
"2015_3","이태원",45.3,39.6874444444444,48.6134998888889,5.61255555555555,3.31349988888889
"2015_3","잠실",40.6,35.2442,38.0917722,5.3558,2.5082278
"2015_3","장안동",26.1,24.5228095238095,28.5639003809524,1.57719047619048,2.46390038095238
"2015_3","종로",90.3,70.2354444444445,97.7057841666667,20.0645555555555,7.40578416666666
"2015_3","천호",38.6,34.3476363636364,37.9782345454545,4.25236363636364,0.621765454545454
"2015_3","청담",69.6,48.6766363636364,69.2009605454545,20.9233636363636,0.399039454545445
