Date,상권,상권_코드_명,임대료,공실률,임대료_예측_딥러닝,공실률_예측_딥러닝
2015_1,건대입구,능동로19길,50.2,7.2,53.38,6.618
2015_1,건대입구,아차산로40길,50.2,7.2,48.02,8.046
2015_1,건대입구,자양로11길,50.2,7.2,46.335,7.115
2015_1,건대입구,서울 광진구 건대입구역_2,50.2,7.2,63.459,7.071
2015_1,건대입구,광나루로24길,50.2,7.2,46.453,6.409
2015_1,건대입구,뚝섬로23길,50.2,7.2,41.738,7.791
2015_1,건대입구,능동로골목시장,50.2,7.2,43.745,5.958
2015_1,건대입구,자양골목시장,50.2,7.2,44.1,6.188
2015_1,건대입구,한아름시장,50.2,7.2,48.972,7.838
2015_1,건대입구,능동로13길,50.2,7.2,56.937,8.525
2015_1,건대입구,광나루로12길,50.2,7.2,55.169,6.221
2015_1,건대입구,자양번영로3길,50.2,7.2,41.298,7.125
2015_1,건대입구,동일로24길,50.2,7.2,60.05,6.917
2015_1,건대입구,능동로4길,50.2,7.2,49.601,8.133
2015_1,건대입구,자양로15길,50.2,7.2,46.363,5.322
2015_1,경희대,천장산로7길,49.6,3.1,43.275,4.52
2015_1,경희대,경희대학교,49.6,3.1,65.302,3.379
2015_1,경희대,회기시장,49.6,3.1,41.469,4.621
2015_1,경희대,휘경로2길,49.6,3.1,48.752,1.545
2015_1,경희대,휘경로23길,49.6,3.1,41.266,5.138
2015_1,경희대,휘경로3길,49.6,3.1,42.479,3.661
2015_1,경희대,경희대로3길,49.6,3.1,58.305,4.589
2015_1,공덕역,효창원로93길,37.2,4.8,36.441,5.481
2015_1,공덕역,마포대로20길,37.2,4.8,31.109,5.381
2015_1,공덕역,만리재옛길,37.2,4.8,36.337,5.342
2015_1,광화문,서울 종로구 경복궁역_1,69.8,1.3,83.746,2.408
2015_1,광화문,자하문로7길,69.8,1.3,67.62,1.695
2015_1,광화문,서울 종로구 광화문역_2,69.8,1.3,83.408,2.264
2015_1,군자,서울 광진구 군자역,38.5,8.9,44.761,8.052
2015_1,군자,긴고랑로7길,38.5,8.9,36.588,7.089
2015_1,군자,능동로34길,38.5,8.9,88.925,1.297
2015_1,군자,어린이대공원역,38.5,8.9,41.884,6.95
2015_1,군자,용마산로21길,38.5,8.9,42.573,9.412
2015_1,군자,긴고랑로8길,38.5,8.9,30.772,8.701
2015_1,군자,중곡제일시장,38.5,8.9,32.112,2.591
2015_1,군자,긴고랑로20길,38.5,8.9,44.494,4.369
2015_1,군자,천호대로109길,38.5,8.9,37.119,7.305
2015_1,군자,천호대로123길,38.5,8.9,32.403,5.783
2015_1,동대문,서울 종로구 동대문역_2,34.8,13.1,46.986,11.96
2015_1,동대문,동묘앞역,34.8,13.1,52.53,6.956
2015_1,명동,명동길,273.7,5.7,323.301,7.659
2015_1,명동,서울시청,273.7,5.7,285.632,7.56
2015_1,명동,퇴계로18길,273.7,5.7,258.985,5.261
2015_1,명동,명동거리,273.7,5.7,418.24,10.303
2015_1,명동,서울 중구 명동역,273.7,5.7,173.825,7.702
2015_1,목동,오목교역,30.5,3.2,33.15,8.702
2015_1,목동,목동동로12길,30.5,3.2,28.662,4.376
2015_1,목동,목동중앙서로7길,30.5,3.2,33.403,3.789
2015_1,목동,목동중앙본로7길,30.5,3.2,30.989,6.718
2015_1,목동,목3동시장,30.5,3.2,37.299,2.812
2015_1,목동,목동중앙로13나길,30.5,3.2,53.625,2.987
2015_1,목동,목동중앙서로8가길,30.5,3.2,28.874,3.756
2015_1,목동,목동중앙북로8길,30.5,3.2,34.677,4.241
2015_1,목동,목동중앙남로3가길,30.5,3.2,29.787,4.609
2015_1,목동,목동중앙북로16길,30.5,3.2,31.424,4.395
2015_1,목동,목동중앙로3길,30.5,3.2,30.348,5.312
2015_1,목동,목2동시장,30.5,3.2,44.884,2.055
2015_1,사당,남현3길,53.6,0.8,50.99,3.082
2015_1,사당,방배천로4안길,53.6,0.8,49.729,2.941
2015_1,사당,동작대로17길,53.6,0.8,56.607,1.302
2015_1,사당,관악구 사당역_2,53.6,0.8,69.962,1.737
2015_1,사당,동작대로7길,53.6,0.8,57.946,0.818
2015_1,사당,서초대로4길,53.6,0.8,50.374,0.78
2015_1,사당,서초대로8길,53.6,0.8,93.36,5.634
2015_1,사당,청두곶길,53.6,0.8,52.585,0.961
2015_1,사당,남현길,53.6,0.8,43.873,1.215
2015_1,사당,관악구 사당역_1,53.6,0.8,60.229,2.122
2015_1,사당,사당로26길,53.6,0.8,57.111,0.823
2015_1,사당,사당로20길,53.6,0.8,46.68,0.762
2015_1,사당,사당로30길,53.6,0.8,60.772,2.345
2015_1,서초,남부순환로339길,30.6,10.5,31.122,11.659
2015_1,서초,서초대로64길,30.6,10.5,36.983,9.936
2015_1,서초,서울 강남구 강남역_1,30.6,10.5,56.391,23.303
