Y_pred,Y_real,Mean,,,
8.518941,21.6,13.08105907,,,Mean
4.261109,17.2,12.93889112,,count,1626
5.652992,18.4,12.74700823,,mean,2.426859
5.971703,18.5,12.52829695,,std,2.064105
6.6156774,18.4,11.78432264,,min,0.000469
6.9293504,18.7,11.77064962,,25%,0.877255
17.16065,5.9,11.26065025,,50%,1.914735
8.411491,18.9,10.48850861,,75%,3.4062
6.8878613,17.2,10.31213875,,max,13.081059
8.146181,18.4,10.25381889,,,
11.667087,1.8,9.867086601,,,
7.346297,17.2,9.853703213,,,
17.388647,7.6,9.788647079,,,
11.463921,1.8,9.663920593,,,
21.213167,11.7,9.513167191,,,
6.665965,16.1,9.43403492,,,
15.27445,5.9,9.374450302,,,
7.2339396,16.6,9.366060352,,,
1.9600399,11.2,9.239960146,,,
1.2465055,10.2,8.953494501,,,
20.538513,11.7,8.838513184,,,
9.560789,0.8,8.760789108,,,
16.24182,7.6,8.641819382,,,
12.991075,21.6,8.608925438,,,
10.347495,18.9,8.552504921,,,
7.4631996,16,8.536800385,,,
10.020113,1.5,8.520112991,,,
1.3051488,9.8,8.49485116,,,
17.577879,9.1,8.477878952,,,
9.9331255,18.4,8.466874504,,,
5.235528,13.7,8.464472008,,,
9.252935,0.8,8.45293541,,,
9.387081,1.1,8.287081146,,,
10.652726,18.9,8.247273827,,,
9.735042,1.5,8.235041618,,,
9.026056,0.8,8.22605629,,,
10.757222,2.6,8.157222176,,,
9.436531,1.3,8.136531067,,,
10.625351,2.5,8.125350952,,,
9.115087,1,8.115086555,,,
9.774176,1.7,8.074175644,,,
14.617408,6.6,8.017407799,,,
13.768291,5.9,7.868291473,,,
10.550142,18.4,7.849857712,,,
8.793197,1,7.793196678,,,
10.648767,18.4,7.751232529,,,
6.394833,14.1,7.705166912,,,
10.196253,2.5,7.696252823,,,
11.610399,4,7.610399246,,,
7.258627,14.8,7.541373062,,,
2.2644346,9.8,7.535565424,,,
14.086717,21.6,7.513283348,,,
11.251465,18.7,7.448535156,,,
8.542541,1.1,7.44254055,,,
19.098648,11.7,7.398648071,,,
9.803558,17.2,7.39644165,,,
8.621074,1.3,7.321073723,,,
6.886413,14.2,7.313586903,,,
8.24781,1,7.247810364,,,
18.920858,11.7,7.220858383,,,
11.566527,18.7,7.133472633,,,
