Y_pred,Y_real,Mean,,,
6.4274054,3.6,2.827405357,,,Mean
7.432694,9.7,2.267306042,,count,1626
5.0292473,5.4,0.370752716,,mean,2.425753
5.7086973,6.7,0.991302681,,std,2.075225
2.4289644,0.7,1.728964376,,min,0.000595
7.7200885,9.5,1.779911518,,25%,0.896684
5.9150853,8.4,2.484914684,,50%,1.933828
13.278794,12.6,0.678794289,,75%,3.310584
6.8574967,4,2.857496738,,max,12.478673
5.3279834,6.4,1.072016621,,,
4.5742593,3.8,0.774259281,,,
1.9328272,2.4,0.467172766,,,
3.7589028,3.1,0.658902788,,,
6.125002,2.1,4.025001907,,,
6.8766947,8.1,1.223305321,,,
2.406647,3.7,1.293353033,,,
5.287696,12.3,7.012304115,,,
7.41645,6.7,0.716450024,,,
6.8512616,5.2,1.651261616,,,
4.3468704,2.8,1.546870422,,,
8.291503,9.7,1.408497047,,,
5.3549614,11,5.645038605,,,
8.198104,13.4,5.201896095,,,
2.1339452,6.4,4.266054773,,,
9.051741,11.5,2.448259354,,,
5.4247255,2.5,2.924725533,,,
6.483549,7.5,1.016450882,,,
6.4574914,1,5.457491398,,,
5.9083962,3.6,2.308396244,,,
6.3412595,3.4,2.94125948,,,
4.2825537,1.5,2.782553673,,,
4.714167,9.6,4.885832882,,,
4.1810474,2.6,1.58104744,,,
7.562936,10.9,3.337064171,,,
1.132919,4.7,3.567081046,,,
21.324163,19.8,1.524163437,,,
5.3886156,4.1,1.288615608,,,
6.8153267,5.5,1.315326691,,,
8.211643,0.8,7.411643219,,,
12.707446,6.4,6.307446098,,,
7.371169,9.3,1.92883091,,,
4.5090394,5.3,0.790960598,,,
7.7872725,5.9,1.887272453,,,
19.88213,18.4,1.482129669,,,
5.7769313,7.5,1.723068714,,,
3.7549853,9.4,5.645014668,,,
11.485014,12.4,0.914986038,,,
6.3679385,6.9,0.532061481,,,
5.997542,9.6,3.602458096,,,
6.2017612,5.5,0.701761246,,,
12.215148,11.1,1.115147972,,,
6.5147786,3.8,2.714778614,,,
7.575034,8.2,0.624965858,,,
10.076179,11.2,1.123821449,,,
5.9447956,11.9,5.955204391,,,
9.102804,9.8,0.697195816,,,
8.299614,8.7,0.400386047,,,
7.990722,14.2,6.209277821,,,
3.991845,6.1,2.108155107,,,
6.132043,5.9,0.232042885,,,
7.189927,1.7,5.489927101,,,
5.6255493,0.8,4.825549316,,,
2.9921956,2.4,0.592195606,,,
7.710957,2,5.71095705,,,
5.729374,4,1.729373932,,,
1.8873652,1.1,0.787365222,,,
7.3589864,2,5.358986378,,,
4.6750245,2,2.675024509,,,
5.487272,4.8,0.687271786,,,
7.1819205,7,0.181920528,,,
5.051302,1.7,3.351301956,,,
2.4585993,1.3,1.158599329,,,
7.813803,10.6,2.786196804,,,
2.5139253,9.6,7.086074686,,,
5.568572,5.1,0.468572044,,,
10.781236,6.6,4.181235695,,,
10.754328,5.9,4.854327774,,,
17.667763,18.4,0.732237244,,,
7.3028884,8.3,0.997111607,,,
8.521189,12.8,4.278811264,,,
6.8843565,6.9,0.015643501,,,
6.5223427,6.6,0.077657318,,,
8.353797,9.7,1.346203041,,,
4.5909476,8,3.409052372,,,
8.542435,8.4,0.142434692,,,
5.1227317,3.7,1.422731686,,,
4.5771794,2.8,1.777179432,,,
8.372373,7.6,0.772372627,,,
6.5379753,4.5,2.037975311,,,
8.852879,6.4,2.452878571,,,
9.267527,12.8,3.532473373,,,
5.3431616,5.7,0.356838417,,,
5.2572856,4.8,0.457285595,,,
7.5666795,2.6,4.966679478,,,
9.107078,10.6,1.492922401,,,
14.6650715,14.9,0.234928513,,,
7.135855,0.8,6.335855198,,,
11.13115,10.4,0.731150246,,,
6.223419,7.6,1.376580811,,,
5.5947204,10.3,4.705279636,,,
6.8771214,9.4,2.522878551,,,
7.3175616,18.4,11.08243837,,,
8.724699,8.9,0.17530098,,,
7.8959475,6.8,1.095947456,,,
13.823431,11.8,2.023431015,,,
7.998751,7,0.998751163,,,
9.076279,10,0.923721313,,,
7.64092,8.6,0.959079838,,,
5.962373,1.9,4.06237278,,,
6.084429,7,0.915571213,,,
6.250238,9.8,3.549762058,,,
4.264186,0.2,4.064185905,,,
8.275578,7,1.275577545,,,
8.190137,12.4,4.209863091,,,
14.98002,7,7.980019569,,,
7.9798837,8.9,0.920116329,,,
5.837068,5.9,0.062931919,,,
6.0886145,9,2.911385536,,,
6.728723,6.9,0.171276951,,,
6.031473,3.8,2.23147316,,,
9.637878,12.8,3.162121582,,,
4.996086,3.2,1.796086121,,,
8.055817,13,4.94418335,,,
7.1124682,1.5,5.612468243,,,
9.76878,9.1,0.668779755,,,
9.145432,9.4,0.254567528,,,
6.9859953,7.6,0.614004707,,,
9.355164,7.6,1.755163574,,,
2.799806,0.9,1.899806118,,,
5.7131667,8.2,2.486833286,,,
7.72161,3.1,4.621610069,,,
7.835627,10.6,2.764372921,,,
5.5503306,4.8,0.750330639,,,
8.316615,8.7,0.383384895,,,
18.759073,17.9,0.859073257,,,
7.6180005,11.5,3.881999493,,,
8.975777,10.9,1.924223328,,,
10.299363,6.2,4.099363136,,,
8.039488,6,2.039487839,,,
7.1129327,4.4,2.712932682,,,
5.4340477,3.8,1.634047699,,,
10.833246,11.1,0.266753769,,,
