Date,상권,임대료,임대료_예측_머신러닝,임대료_예측_딥러닝,임대료_차이_머신,임대료_차이_딥
2015_1,건대입구,50.2,43.964 ,49.708 ,6.236 ,0.492 
2015_1,경희대,49.6,42.952 ,48.692 ,6.648 ,0.908 
2015_1,공덕역,37.2,30.981 ,34.629 ,6.219 ,2.571 
2015_1,광화문,69.8,51.061 ,78.258 ,18.739 ,8.458 
2015_1,군자,38.5,35.749 ,43.163 ,2.751 ,4.663 
2015_1,동대문,34.8,46.034 ,49.758 ,11.234 ,14.958 
2015_1,명동,273.7,158.028 ,291.996 ,115.672 ,18.296 
2015_1,목동,30.5,27.680 ,34.760 ,2.820 ,4.260 
2015_1,사당,53.6,44.571 ,57.709 ,9.029 ,4.109 
2015_1,서초,30.6,27.506 ,35.590 ,3.094 ,4.990 
2015_1,성신여대,41.1,38.181 ,43.726 ,2.919 ,2.626 
2015_1,수유,56.8,45.110 ,56.667 ,11.690 ,0.133 
2015_1,신촌,60.2,42.606 ,76.164 ,17.595 ,15.964 
2015_1,영등포,33.6,32.417 ,44.504 ,1.183 ,10.904 
2015_1,용산,23.7,25.936 ,34.375 ,2.236 ,10.675 
2015_1,이태원,45.3,37.988 ,59.360 ,7.312 ,14.060 
2015_1,잠실,40.5,32.342 ,42.624 ,8.158 ,2.124 
2015_1,장안동,26.1,26.169 ,28.668 ,0.069 ,2.568 
2015_1,종로,90.9,75.074 ,104.200 ,15.826 ,13.300 
2015_1,천호,38.6,35.360 ,43.922 ,3.240 ,5.322 
2015_1,청담,69,47.547 ,69.948 ,21.453 ,0.948 
2015_1,청량리,43.4,35.883 ,46.341 ,7.517 ,2.941 
2015_1,충무로,29,45.530 ,37.317 ,16.530 ,8.317 
2015_1,테헤란로,46.4,36.925 ,48.911 ,9.475 ,2.511 
2015_1,혜화동,70.2,52.777 ,66.392 ,17.423 ,3.808 
2015_1,홍대합정,46.4,39.194 ,54.983 ,7.206 ,8.583 
2015_1,화곡,22.7,24.770 ,27.788 ,2.070 ,5.088 
2015_2,건대입구,51.7,47.163 ,47.009 ,4.537 ,4.691 
2015_2,경희대,49.6,41.811 ,46.396 ,7.789 ,3.204 
2015_2,공덕역,39.9,32.496 ,38.774 ,7.404 ,1.126 
2015_2,광화문,69.8,46.215 ,70.490 ,23.585 ,0.690 
2015_2,군자,38.3,33.682 ,35.406 ,4.618 ,2.894 
2015_2,동대문,34.8,36.251 ,43.698 ,1.451 ,8.898 
2015_2,명동,270.9,172.596 ,287.370 ,98.304 ,16.470 
2015_2,목동,30.4,27.178 ,33.941 ,3.222 ,3.541 
