Date,상권,임대료
2014_2,광화문,70
2014_2,동대문,34.6
2014_2,명동,266.3
2014_2,서울역,60.2
2014_2,종로,90.3
2014_2,충무로,28.8
2014_2,소계,77.5
2014_2,강남대로,134.9
2014_2,도산대로,44.3
2014_2,서초,29.5
2014_2,신사,80.1
2014_2,압구정동,51.1
2014_2,청담,69
2014_2,테헤란로,46.4
2014_2,소계,50.1
2014_2,공덕역,37.2
2014_2,신촌,60.2
2014_2,홍대합정,44.6
2014_2,소계,42.9
2014_2,건대입구,49.6
2014_2,경희대,49.6
2014_2,군자,37.1
2014_2,목동,30.4
2014_2,사당,52.3
2014_2,성신여대,41.4
2014_2,수유,58.6
2014_2,신림,52.7
2014_2,영등포,33.3
2014_2,용산,23.7
2014_2,이태원,45.1
2014_2,잠실,40.3
2014_2,장안동,26.1
2014_2,천호,38.3
2014_2,청량리,43.1
2014_2,혜화동,69.9
2014_2,화곡,22.8
2014_3,광화문,69
2014_3,동대문,34.6
2014_3,명동,268.1
2014_3,서울역,60.1
2014_3,종로,89.3
2014_3,충무로,28.9
2014_3,소계,77.4
2014_3,강남대로,135.1
2014_3,도산대로,43.1
2014_3,서초,29.5
2014_3,신사,79.7
2014_3,압구정동,51.1
2014_3,청담,69
2014_3,테헤란로,46.4
2014_3,소계,50.2
2014_3,공덕역,37.2
2014_3,신촌,60.2
2014_3,홍대합정,45.2
2014_3,소계,43
2014_3,건대입구,49.9
2014_3,경희대,49.6
2014_3,군자,37.3
2014_3,목동,30.5
2014_3,사당,52.5
2014_3,성신여대,41.6
2014_3,수유,58.6
2014_3,신림,52.7
2014_3,영등포,33.8
2014_3,용산,23.8
2014_3,이태원,45.1
2014_3,잠실,40.6
2014_3,장안동,26.1
2014_3,천호,38.4
2014_3,청량리,43.2
2014_3,혜화동,69.9
2014_3,화곡,22.8
2014_4,광화문,69
2014_4,동대문,34.8
2014_4,명동,271.7
2014_4,서울역,60.2
2014_4,종로,90.9
2014_4,충무로,29
2014_4,소계,77.8
2014_4,강남대로,135.1
2014_4,도산대로,43.1
2014_4,서초,30.2
2014_4,신사,80.6
2014_4,압구정동,52.4
2014_4,청담,69
2014_4,테헤란로,46.4
2014_4,소계,50.2
2014_4,공덕역,37.2
2014_4,신촌,60.2
2014_4,홍대합정,45.2
2014_4,소계,43
2014_4,건대입구,50
2014_4,경희대,49.5
2014_4,군자,36.6
2014_4,목동,30.5
2014_4,사당,53.5
2014_4,성신여대,41.6
2014_4,수유,58.6
2014_4,신림,52.7
2014_4,영등포,33.5
2014_4,용산,23.8
2014_4,이태원,45.1
2014_4,잠실,40.6
2014_4,장안동,26.1
2014_4,천호,38.6
2014_4,청량리,43.1
2014_4,혜화동,69.9
2014_4,화곡,22.8
2015_1,광화문,69.8
2015_1,동대문,34.8
2015_1,명동,273.7
2015_1,서울역,60.3
2015_1,종로,90.9
2015_1,충무로,29
2015_1,소계,78
2015_1,강남대로,135.2
2015_1,도산대로,43.1
2015_1,서초,30.6
2015_1,신사,81.7
2015_1,압구정동,52.4
2015_1,청담,69
2015_1,테헤란로,46.4
2015_1,소계,50.5
2015_1,공덕역,37.2
2015_1,신촌,60.2
2015_1,홍대합정,46.4
2015_1,소계,43
2015_1,건대입구,50.2
2015_1,경희대,49.6
2015_1,군자,38.5
2015_1,목동,30.5
2015_1,사당,53.6
2015_1,성신여대,41.1
2015_1,수유,56.8
2015_1,신림,52.9
2015_1,영등포,33.6
2015_1,용산,23.7
2015_1,이태원,45.3
2015_1,잠실,40.5
2015_1,장안동,26.1
2015_1,천호,38.6
2015_1,청량리,43.4
2015_1,혜화동,70.2
2015_1,화곡,22.7
2015_2,광화문,69.8
2015_2,동대문,34.8
2015_2,명동,270.9
2015_2,서울역,60.2
2015_2,종로,90.5
2015_2,충무로,29
2015_2,소계,77.6
2015_2,강남대로,135.2
2015_2,도산대로,43.1
2015_2,서초,30.7
2015_2,신사,81.5
2015_2,압구정동,52.4
2015_2,청담,69
2015_2,테헤란로,46.4
2015_2,소계,51.6
2015_2,공덕역,39.9
2015_2,신촌,60.3
2015_2,홍대합정,46.3
2015_2,소계,43
2015_2,건대입구,51.7
2015_2,경희대,49.6
2015_2,군자,38.3
2015_2,목동,30.4
2015_2,사당,53.6
2015_2,성신여대,41.3
2015_2,수유,55.3
2015_2,신림,53.7
2015_2,영등포,33.3
2015_2,용산,23.7
2015_2,이태원,45.2
2015_2,잠실,40.6
2015_2,장안동,26.1
2015_2,천호,38.6
2015_2,청량리,43.5
2015_2,혜화동,70.2
2015_2,화곡,22.7
2015_3,광화문,70.3
2015_3,동대문,34.8
2015_3,명동,270
2015_3,서울역,60.1
2015_3,종로,90.3
2015_3,충무로,29
2015_3,소계,78
2015_3,강남대로,135.9
2015_3,도산대로,43.2
2015_3,서초,30.7
2015_3,신사,81.8
2015_3,압구정동,52.6
2015_3,청담,69.6
2015_3,테헤란로,46.4
