Date,상권_코드_명,총_유동인구_수
2014_2,계동길,164593
2014_2,난계로27길,168471
2014_2,돈화문로11가길,112965
2014_2,명륜길,118818
2014_2,백석동길,43693
2014_2,북촌로11길,71067
2014_2,북촌로5길,118429
2014_2,북촌로5나길,48720
2014_2,삼청로5길,19635
2014_2,성균관로5길,131937
2014_2,숭인동길,278307
2014_2,옥인길,112561
2014_2,율곡로10길,53577
2014_2,율곡로16길,132966
2014_2,이화장길,270302
2014_2,자하문로7길,176152
2014_2,종로24길,96648
2014_2,종로58가길,376551
2014_2,종로65길,199778
2014_2,지봉로8길,446925
2014_2,창경궁로35길,310451
2014_2,창신2길,135761
2014_2,창신5길,471663
2014_2,창신길,219574
2014_2,통일로12길,90914
2014_2,평창길,9251
2014_2,필운대로1길,151635
2014_2,난계로11길,394055
2014_2,난계로21길,113744
2014_2,다산로33길,705587
2014_2,다산로36길,139250
2014_2,다산로38길,366591
2014_2,다산로39길,348411
2014_2,동호로10길,361596
2014_2,동호로11길,111817
2014_2,동호로15길,129980
2014_2,동호로20길,294865
2014_2,동호로8길,157063
2014_2,명동길,158641
2014_2,삼일대로4길,265252
2014_2,장충단로8길,236845
2014_2,청구로17길,276781
2014_2,청구로1길,679480
2014_2,퇴계로12길,68758
2014_2,퇴계로18길,52523
2014_2,퇴계로46길,526845
2014_2,퇴계로56길,379832
2014_2,퇴계로8길,145288
2014_2,퇴계로90길,288998
2014_2,녹사평대로11길,10362
2014_2,녹사평대로26길,83385
2014_2,녹사평대로32길,88775
2014_2,녹사평대로40나길,225473
2014_2,녹사평대로46길,129706
2014_2,대사관로34길,73625
2014_2,두텁바위로1길,206899
2014_2,백범로79길,381103
2014_2,백범로90길,89624
2014_2,서빙고로71길,61157
2014_2,소월로20길,400222
2014_2,신흥로20길,146612
2014_2,우사단로10길,234020
2014_2,우사단로14길,117938
2014_2,우사단로4길,279589
2014_2,원효로19길,110376
2014_2,원효로41길,132509
2014_2,원효로53길,293462
2014_2,원효로89길,137076
2014_2,이촌로22길,161357
2014_2,이태원로27길,220256
2014_2,이태원로54길,180342
2014_2,장문로45길,259944
2014_2,청파로47길,622212
2014_2,청파로47나길,202835
2014_2,청파로71길,451553
2014_2,청파로73길,214814
2014_2,한강대로104길,244199
2014_2,한강대로15길,129020
2014_2,한강대로43길,551276
2014_2,한강대로52길,392021
2014_2,한강대로62길,276199
2014_2,한강대로7길,183174
2014_2,한강대로88길,120219
2014_2,한남대로20길,141574
2014_2,회나무로13길,108920
2014_2,효창원로39길,142406
2014_2,후암로28길,109569
2014_2,고산자로6길,634430
2014_2,금호산2길,106290
2014_2,금호산길,347761
2014_2,둘레9길,135318
2014_2,뚝섬로5길,216822
2014_2,마장로27길,180114
2014_2,마장로39길,132423
2014_2,마조로16길,79938
2014_2,마조로1길,580184
2014_2,매봉길,54605
2014_2,무수막길,189243
2014_2,무학로6길,274921
2014_2,무학봉28길,221665
2014_2,무학봉길,185217
2014_2,사근동길,238337
2014_2,상원12길,217654
2014_2,상원길,375475
2014_2,서울숲2길,147090
2014_2,성덕정17길,389400
2014_2,성덕정길,164112
2014_2,성수이로18길,118693
2014_2,성수이로7길,145671
2014_2,성수일로6길,373396
2014_2,송정12라길,268518
2014_2,송정4가길,440124
2014_2,아차산로11길,140021
2014_2,아차산로15길,168012
2014_2,아차산로5길,107379
2014_2,왕십리로14길,152133
2014_2,왕십리로21길,137484
2014_2,왕십리로26길,496343
2014_2,왕십리로31길,296027
2014_2,왕십리로6길,466909
2014_2,용답29길,647303
2014_2,용답중앙길,191150
2014_2,장터길,158449
2014_2,청계천로10나길,528459
2014_2,한림말3길,250957
2014_2,한림말길,154802
2014_2,광나루로12길,335998
2014_2,광나루로24길,81676
2014_2,광나루로36길,187467
2014_2,광나루로37길,152431
2014_2,광나루로40길,255298
2014_2,광나루로52길,172040
2014_2,긴고랑로20길,316778
2014_2,긴고랑로7길,277362
2014_2,긴고랑로8길,429568
2014_2,긴고랑로9길,279496
2014_2,능동로13길,368093
2014_2,능동로19길,260044
2014_2,능동로34길,203974
2014_2,능동로3길,221843
2014_2,능동로4길,201305
2014_2,동일로18길,294331
2014_2,동일로24길,596097
2014_2,뚝섬로23길,205902
2014_2,뚝섬로24길,434372
2014_2,뚝섬로48길,227482
2014_2,뚝섬로54길,149306
2014_2,뚝섬로58길,206928
2014_2,뚝섬로64길,238970
2014_2,면목로17길,366594
2014_2,아차산로40길,167675
2014_2,아차산로51길,266085
2014_2,아차산로55길,228756
2014_2,아차산로65길,111537
2014_2,아차산로78길,69336
2014_2,용마산로21길,258807
2014_2,용마산로3길,320270
2014_2,자양로11길,379673
2014_2,자양로15길,123289
2014_2,자양로26길,350061
2014_2,자양로45길,131180
2014_2,자양로50길,220088
2014_2,자양로53길,246068
2014_2,자양번영로3길,307133
2014_2,천호대로109길,433217
2014_2,천호대로123길,242177
2014_2,천호대로129길,325063
2014_2,경희대로3길,58968
2014_2,경희대로4길,225066
2014_2,난계로30길,94909
2014_2,답십리로23길,171154
2014_2,답십리로56길,315097
2014_2,답십리로60길,94589
2014_2,답십리로63길,113934
2014_2,답십리로64길,336904
2014_2,답십리로68길,172769
2014_2,답십리로69길,183310
2014_2,답십리로72길,237329
2014_2,망우로18가길,117263
2014_2,망우로18길,155841
2014_2,망우로21길,58353
2014_2,무학로16길,132358
2014_2,무학로45길,186300
2014_2,사가정로13길,357761
2014_2,사가정로23가길,157600
2014_2,사가정로2길,150492
2014_2,서울시립대로16길,111589
2014_2,서울시립대로29길,537246
2014_2,서울시립대로4길,184736
2014_2,약령시로17길,358434
2014_2,왕산로32길,175454
2014_2,왕산로33길,111425
2014_2,왕산로43길,477459
2014_2,이문로42길,281970
2014_2,장한로14길,220358
2014_2,장한로25길,104969
2014_2,장한로26가길,93756
2014_2,장한로26길,563139
2014_2,장한로27가길,99118
2014_2,장한로27길,151249
2014_2,장한로5길,242183
2014_2,장한로8길,278019
2014_2,전농로29길,393098
2014_2,전농로3길,192216
2014_2,전농로4길,182100
2014_2,제기로21길,136466
2014_2,제기로5길,310682
2014_2,천장산로7길,170987
2014_2,천호대로12길,78333
2014_2,천호대로17길,356666
2014_2,천호대로45길,145770
2014_2,천호대로77길,197005
2014_2,천호대로97길,328388
2014_2,한천로14길,539332
2014_2,한천로33길,162679
2014_2,한천로40길,345939
2014_2,한천로46길,275117
2014_2,휘경로14길,176015
2014_2,휘경로23길,354072
2014_2,휘경로2길,194931
2014_2,휘경로3길,780320
2014_2,겸재로29길,373396
2014_2,겸재로36길,415531
2014_2,겸재로54길,343028
2014_2,공릉로12가길,93455
2014_2,공릉로2길,453241
2014_2,답십리로75길,164807
2014_2,동일로100길,360472
2014_2,동일로101길,266479
2014_2,동일로112길,451257
2014_2,동일로123길,312325
2014_2,동일로130길,292703
2014_2,동일로139가길,382450
2014_2,동일로139길,184010
2014_2,동일로140길,216355
2014_2,동일로149길,138319
2014_2,동일로157길,374658
2014_2,동일로163길,214978
2014_2,망우로68길,250774
2014_2,망우로73길,126205
2014_2,면목로21길,151607
2014_2,면목로33길,449584
2014_2,면목로45길,261119
2014_2,면목로48길,265675
2014_2,면목로49길,275417
2014_2,면목로55길,302973
2014_2,면목로56길,388262
2014_2,면목로78길,275474
2014_2,봉우재로33길,325693
2014_2,봉화산로30길,198105
2014_2,봉화산로4길,158660
2014_2,봉화산로56길,771622
2014_2,사가정로42길,406891
2014_2,사가정로54길,270509
2014_2,신내로7가길,185962
2014_2,용마산로100길,241407
2014_2,용마산로112길,198643
2014_2,용마산로118길,252305
2014_2,용마산로94길,283415
2014_2,중랑천로10길,220393
2014_2,길음로7길,175743
2014_2,돌곶이로14길,78538
2014_2,돌곶이로22길,210795
2014_2,돌곶이로27길,251239
2014_2,돌곶이로28길,211979
2014_2,돌곶이로41길,120950
2014_2,돌곶이로8길,82672
2014_2,동소문로13길,247084
2014_2,동소문로15길,221976
2014_2,동소문로26가길,308311
2014_2,동소문로2길,128594
2014_2,동소문로6길,111851
2014_2,보국문로16길,181233
2014_2,보문로13길,426414
2014_2,보문로26길,134970
2014_2,보문로31길,199757
2014_2,보문로32길,424727
2014_2,삼선교로10길,308596
2014_2,삼선교로10다길,90680
2014_2,삼선교로16가길,238578
2014_2,삼양로8길,266558
2014_2,성북로8길,64464
2014_2,솔샘로6길,108229
2014_2,아리랑로4길,227524
2014_2,안암로5길,110061
2014_2,오패산로19길,317435
2014_2,오패산로3길,557302
2014_2,오패산로4길,354716
2014_2,인촌로17가길,208398
2014_2,인촌로1길,211177
2014_2,개운사길,199095
2014_2,인촌로24길,379377
2014_2,인촌로5길,149999
2014_2,인촌로6길,125644
2014_2,장월로1길,126744
