Date,상권_코드_명,총_직장_인구_수
2019_1,강남 마이스 관광특구,22562
2019_1,잠실 관광특구,30675
2019_1,종로·청계 관광특구,31692
2019_1,동대문패션타운 관광특구,10568
2019_1,명동 남대문 북창동 다동 무교동 관광특구,158818
2019_1,이태원 관광특구,5857
2019_1,길동복조리시장,471
2019_1,둔촌역전통시장,169
2019_1,성내골목시장,6
2019_1,천호시장,9
2019_1,암사종합시장,829
2019_1,고덕전통시장,400
2019_1,명일골목시장,531
2019_1,새마을시장,385
2019_1,석촌시장,165
2019_1,방이시장,611
2019_1,마천시장,216
2019_1,풍납시장,10
2019_1,강남개포시장,36
2019_1,도곡시장,484
2019_1,영동전통시장,3036
2019_1,미성동도깨비시장,409
2019_1,신신림시장,3
2019_1,삼성동시장,94
2019_1,신림중앙시장,12
2019_1,강남골목시장,262
2019_1,관악신사시장,171
2019_1,신원시장,330
2019_1,인헌시장,204
2019_1,봉천현대시장,10
2019_1,봉천제일종합시장,62
2019_1,낙성대시장,16
2019_1,중부시장,185
2019_1,남성역골목시장,563
2019_1,남성사계시장,1983
2019_1,흑석시장,171
2019_1,상도4동도깨비골목시장,327
2019_1,영도시장,83
2019_1,본동인정시장,134
2019_1,대림중앙시장,20
2019_1,우리시장,18
2019_1,영진시장A동,47
2019_1,사러가시장,34
2019_1,영등포청과시장,218
2019_1,영등포전통시장,4063
2019_1,은행나무시장,69
2019_1,현대시장,45
2019_1,남문시장,271
2019_1,독산동 우시장,137
2019_1,개봉중앙시장,10
2019_1,가리봉시장,16
2019_1,남구로시장,13
2019_1,구로시장,60
2019_1,방신전통시장,47
2019_1,송화골목시장,563
2019_1,까치산시장,46
2019_1,남부골목시장,217
2019_1,화곡중앙골목시장,2
2019_1,등마루시장,799
2019_1,신정3동골목시장,181
2019_1,신정2동골목시장,6
2019_1,신월6동골목시장,229
2019_1,신곡종합시장,13
2019_1,신월3동골목시장,68
2019_1,경창시장,208
2019_1,월정로시장,123
2019_1,신영시장,56
2019_1,목4동시장,211
2019_1,목3동시장,768
2019_1,목2동시장,228
2019_1,마포농수산물시장,461
2019_1,망원월드컵시장,16
2019_1,망원시장,60
2019_1,신수시장,121
2019_1,아현시장,25
2019_1,대림골목시장,411
2019_1,상계중앙시장,42
2019_1,방학동도깨비시장,160
2019_1,쌍문역골목시장,71
2019_1,신도봉시장,28
2019_1,창동신창시장,141
2019_1,수유북부시장,12
2019_1,장미원골목시장,67
2019_1,수유중앙시장,127
2019_1,강북종합시장,65
2019_1,우이시장,157
2019_1,수유전통시장,411
2019_1,번동북부골목시장,84
2019_1,솔샘시장,109
2019_1,방천골목시장,77
2019_1,석관황금시장,78
2019_1,장위전통시장,190
2019_1,정릉시장,37
2019_1,정릉아리랑시장,2
2019_1,돈암제일시장,52
2019_1,우림골목시장,218
2019_1,묵1동도깨비시장,290
2019_1,태능시장,3
2019_1,중화제일시장,22
2019_1,사가정시장,245
2019_1,동원시장,72
2019_1,동부골목시장,105
2019_1,회기시장,114
2019_1,답십리시장,31
2019_1,답십리현대시장,98
2019_1,청량리종합시장,10
2019_1,청량리농수산물시장,21
2019_1,서울약령시장,1319
2019_1,청량리수산시장,227
2019_1,구의시장,132
2019_1,조양시장,91
2019_1,영동교골목시장,18
2019_1,능동로골목시장,275
2019_1,자양골목시장,97
2019_1,중곡제일시장,130
2019_1,한아름시장,174
2019_1,성동용답상가시장,312
2019_1,뚝도시장,35
2019_1,금남시장,29
2019_1,행당시장,257
2019_1,마장축산물시장,1516
2019_1,용문전통시장,41
2019_1,후암시장,48
2019_1,합동(새벽)시장,2365
2019_1,서울중앙시장,278
2019_1,백학시장,463
2019_1,약수시장,1786
2019_1,청평화시장,3360
2019_1,제일평화시장,570
2019_1,남평화시장,200
2019_1,방산종합시장,1879
2019_1,인현시장,1084
2019_1,신중부시장,2437
2019_1,남대문시장,7146
2019_1,동묘시장,903
2019_1,창신골목시장,223
2019_1,충신시장,297
2019_1,종로신진시장,39
2019_1,동대문종합시장,320
2019_1,광장시장,204
2019_1,서울 노원구 노원역_3,775
2019_1,서울 노원구 노원역_1,1068
2019_1,창동역,2477
2019_1,서울 강북구 수유역_3,64
2019_1,서울 강북구 수유역_2,4370
2019_1,서울 강북구 수유역_1,43
2019_1,서울 은평구 연신내역_3,676
2019_1,서울 은평구 연신내역_2,451
2019_1,서울 은평구 연신내역_1,74
2019_1,서울 성북구 미아삼거리역_2,507
2019_1,서울 강북구 미아삼거리역_1,542
2019_1,서울 은평구 불광역_3,54
2019_1,서울 은평구 불광역_2,69
2019_1,서울 은평구 불광역_1,284
2019_1,미아사거리_2,121
2019_1,미아사거리_1,621
2019_1,서울 성북구 성신여대입구역,5286
2019_1,경희대학교,370
2019_1,서울 성북구 안암역,112
2019_1,혜화역 대학로_3,1727
2019_1,혜화역 대학로_2,1513
2019_1,혜화역 대학로_1,1225
2019_1,디지털미디어시티,17010
2019_1,서울 동대문구 청량리역,3509
2019_1,서울 종로구 안국역_2,706
2019_1,서울 종로구 안국역_1,11483
2019_1,서울 종로구 경복궁역_1,207
2019_1,서울 종로구 종로3가역_3,3411
2019_1,서울 종로구 종로3가역_2,1922
2019_1,서울 동대문구 신설동역_2,4377
2019_1,인사동,21052
2019_1,서울 종로구 종로5가역_4,635
2019_1,서울 종로구 종로5가역_3,4960
2019_1,종로구청,18495
2019_1,서울 종로구 종로5가역_2,17391
2019_1,신설동역,738
2019_1,서울 동대문구 신설동역_1,2
2019_1,서울 종로구 광화문역_2,54371
2019_1,동묘앞역,68
2019_1,장안동사거리,503
2019_1,서울 종로구 동대문역_2,1106
2019_1,동대문시장_2,500
2019_1,서울 종로구 종로5가역_1,50
2019_1,서울 종로구 종로3가역_1,4034
2019_1,서울 종로구 광화문역_1,2103
2019_1,종각역,20751
2019_1,종각역 젊음의 거리,2712
2019_1,서대문구 서대문역_1,348
2019_1,동대문시장_1,437
2019_1,시청역_2,21859
2019_1,서울시청,23497
2019_1,서울 중구 을지로3가역_2,7863
2019_1,서울 중구 신당역_2,1354
2019_1,서대문구 서대문역_2,1449
2019_1,동대문역사문화공원역,2248
2019_1,서울 중구 을지로3가역_1,18018
2019_1,명동거리,9026
2019_1,롯데백화점,40463
2019_1,서울 중구 신당역_1,1057
2019_1,북창동,10548
2019_1,서울 중구 충무로역_2,14898
2019_1,서울 강서구 송정역,616
2019_1,장한평역_2,5325
2019_1,시청역_1,54859
2019_1,왕십리역_2,668
2019_1,서울 강서구 발산역,874
2019_1,장한평역_1,2508
2019_1,서울 중구 충무로역_1,3239
2019_1,장한평역,2303
2019_1,서울 중구 명동역,3988
2019_1,장충동 족발거리,187
2019_1,한양시장,266
2019_1,서울 서대문구 이대역,1395
2019_1,서울 서대문구 신촌역,3278
2019_1,서울 마포구 홍대입구역_3,342
2019_1,서울 마포구 홍대입구역_2,3328
2019_1,홍익대학교 주변,16818
2019_1,서울 광진구 군자역,227
2019_1,신촌역,221
2019_1,강서구청,3558
2019_1,서울 마포구 홍대입구역_1,871
2019_1,서울 강동구 고덕역,450
2019_1,서울 강동구 명일역,869
2019_1,어린이대공원역,88
2019_1,서울 마포구 공덕역_2,4328
2019_1,공덕역,7954
2019_1,서울 용산구 숙대입구역,2707
2019_1,남영역,12311
2019_1,서울 마포구 공덕역_1,4905
2019_1,서울 마포구 마포역_2,1002
2019_1,서울 광진구 건대입구역_2,2990
2019_1,서울 마포구 마포역_1,13134
2019_1,서울 강동구 천호역_2,4128
