"Date","상권","행정동_코드","상권_코드_명","총_유동인구_수","총_상주인구_수","총_직장_인구_수","운영_영업_개월_평균","폐업_영업_개월_평균","당월_매출_금액","당월_매출_건수","점포수","공실률","임대료"
"2014_2","건대입구",11215710,"능동로19길",260044,1332,326,82,40,5621782107,435880,114,4.6,49.6
"2014_2","건대입구",11215710,"광나루로24길",81676,580,94,86,49,7117334501,973244,114,4.6,49.6
"2014_2","건대입구",11215710,"능동로13길",368093,1465,286,84,36,6637882229,575675,173,4.6,49.6
"2014_2","건대입구",11215710,"한아름시장",26850,99,74,109,46,1753310003,97657,19,4.6,49.6
"2014_2","건대입구",11215710,"서울 광진구 건대입구역_2",859036,1570,2579,69,47,79358115813,4783384,727,4.6,49.6
"2014_2","건대입구",11215710,"광나루로12길",335998,1192,898,109,39,7583944291,663577,178,4.6,49.6
"2014_2","건대입구",11215710,"동일로24길",596097,1101,9,73,36,1869588357,192926,58,4.6,49.6
"2014_2","건대입구",11215820,"자양로15길",123289,1778,337,94,46,6973590682,288192,120,4.6,49.6
"2014_2","건대입구",11215820,"자양골목시장",108918,2088,97,98,45,4427742266,213851,141,4.6,49.6
"2014_2","건대입구",11215840,"뚝섬로23길",205902,3213,96,95,39,2139107714,96865,89,4.6,49.6
"2014_2","건대입구",11215840,"능동로4길",201305,2369,210,61,37,2005167023,102497,72,4.6,49.6
"2014_2","건대입구",11215840,"능동로골목시장",39753,590,266,88,50,703867928,26637,40,4.6,49.6
"2014_2","건대입구",11215840,"자양번영로3길",307133,4280,76,116,49,2068870916,143594,84,4.6,49.6
"2014_2","건대입구",11215820,"아차산로40길",167675,2619,478,94,50,3193400870,86969,67,4.6,49.6
"2014_2","건대입구",11215820,"자양로11길",379673,3872,1230,87,42,7816242145,452153,229,4.6,49.6
"2014_2","경희대",11230710,"경희대학교",268413,479,336,85,41,22984419796,1732632,300,2.6,49.6
"2014_2","경희대",11230710,"회기시장",163726,390,126,102,49,5094444661,278641,146,2.6,49.6
"2014_2","경희대",11230710,"경희대로3길",58968,722,247,82,40,7759786387,469236,105,2.6,49.6
"2014_2","경희대",11230740,"천장산로7길",170987,824,1294,87,54,5622747013,1122976,62,2.6,49.6
"2014_2","경희대",11230740,"휘경로2길",194931,733,6,89,46,11801325762,1149493,279,2.6,49.6
"2014_2","경희대",11230740,"휘경로23길",354072,432,19,111,67,242194963,10606,30,2.6,49.6
"2014_2","경희대",11230740,"휘경로3길",780320,1015,190,93,53,8605130194,688912,178,2.6,49.6
"2014_2","공덕역",11440565,"효창원로93길",299803,2616,99,118,50,1351737975,123491,59,4.2,37.2
"2014_2","공덕역",11440565,"만리재옛길",452187,2078,1087,104,45,5426293448,212942,136,4.2,37.2
"2014_2","공덕역",11440565,"마포대로20길",344032,1005,1838,109,46,4930340513,233878,116,4.2,37.2
"2014_2","광화문",11110530,"서울 종로구 경복궁역_1",333362,179,189,92,54,15728772963,832136,195,2.6,70
"2014_2","광화문",11110530,"자하문로7길",176152,147,504,91,49,6326434923,274776,159,2.6,70
"2014_2","광화문",11110530,"서울 종로구 광화문역_2",895176,1479,50793,111,49,51442773156,2498870,1001,2.6,70
"2014_2","군자",11215750,"긴고랑로20길",316778,2833,499,98,44,7354179557,506759,146,7.5,37.1
"2014_2","군자",11215750,"천호대로123길",242177,1913,301,101,46,9325611900,327478,149,7.5,37.1
"2014_2","군자",11215780,"능동로34길",203974,2517,742,77,50,6095984337,233698,111,7.5,37.1
"2014_2","군자",11215750,"용마산로3길",320270,2527,827,88,44,1753547065,107086,66,7.5,37.1
"2014_2","군자",11215750,"천호대로109길",433217,2837,1429,77,39,14950644755,674226,364,7.5,37.1
"2014_2","군자",11215730,"서울 광진구 군자역",547626,1088,159,93,44,25267037475,1096860,334,7.5,37.1
"2014_2","군자",11215730,"어린이대공원역",367504,503,99,86,46,9056523683,495311,199,7.5,37.1
"2014_2","군자",11215740,"긴고랑로8길",429568,2544,230,97,37,1249488941,51368,72,7.5,37.1
"2014_2","군자",11215740,"중곡제일시장",130377,544,124,99,48,9699195250,473471,212,7.5,37.1
"2014_2","군자",11215740,"긴고랑로7길",277362,2160,454,97,46,7616754203,470230,213,7.5,37.1
"2014_2","군자",11215750,"용마산로21길",258807,3533,152,85,44,6480158367,214380,171,7.5,37.1
"2014_2","동대문",11110670,"서울 종로구 동대문역_2",1044217,351,769,92,44,12621912239,766560,370,10,34.6
"2014_2","동대문",11110670,"동묘앞역",158746,518,58,103,41,10592252655,432850,138,10,34.6
"2014_2","명동",11140550,"서울 중구 명동역",555463,431,2745,98,46,13541765512,782147,293,6.9,266.3
"2014_2","명동",11140550,"서울시청",728791,2,28092,115,55,40755157705,1973786,393,6.9,266.3
"2014_2","명동",11140550,"명동길",158641,92,34330,151,54,11332384810,882712,157,6.9,266.3
"2014_2","명동",11140550,"퇴계로18길",52523,986,2637,96,46,4091921742,266507,69,6.9,266.3
"2014_2","명동",11140550,"명동거리",4445995,37,18466,127,49,275164262611,10651936,2446,6.9,266.3
"2014_2","목동",11470510,"오목교역",177676,1109,234,78,44,10128647022,265073,102,5,30.4
"2014_2","목동",11470510,"목동동로12길",314628,3279,387,79,39,18774374355,685335,331,5,30.4
"2014_2","목동",11470520,"목동중앙로13나길",29358,1198,230,85,38,527098287,13224,12,5,30.4
"2014_2","목동",11470520,"목동중앙북로16길",102870,3820,235,69,51,632890998,49742,40,5,30.4
"2014_2","목동",11470520,"목2동시장",212359,688,171,101,47,9428178990,500862,187,5,30.4
"2014_2","목동",11470530,"목동중앙북로8길",100161,2531,445,73,40,1645715314,36002,71,5,30.4
"2014_2","목동",11470530,"목3동시장",195956,1047,522,98,40,17696426605,973763,300,5,30.4
"2014_2","목동",11470540,"목동중앙서로7길",276010,4408,225,82,39,3531000824,204157,192,5,30.4
"2014_2","목동",11470540,"목동중앙로3길",184212,2233,102,80,39,1475145874,80738,46,5,30.4
"2014_2","목동",11470540,"목동중앙서로8가길",108877,1881,206,88,39,4493684174,101513,91,5,30.4
"2014_2","목동",11470540,"목동중앙남로3가길",95480,2292,557,88,40,4571040243,228008,137,5,30.4
"2014_2","목동",11470540,"목동중앙본로7길",109992,2288,85,80,50,3845845391,163309,136,5,30.4
"2014_2","목동",11470540,"목4동시장",70732,1258,225,87,41,1671672428,79125,91,5,30.4
"2014_2","사당",11590620,"사당로30길",102925,878,317,81,39,4327793303,131268,125,1.5,52.3
"2014_2","사당",11590620,"관악구 사당역_2",270096,599,398,92,44,25770553798,1230410,331,1.5,52.3
"2014_2","사당",11590620,"동작대로7길",383819,2482,1518,89,45,11242241074,667325,255,1.5,52.3
"2014_2","사당",11590620,"동작대로17길",190315,1364,1292,93,39,12995367015,425094,119,1.5,52.3
"2014_2","사당",11590620,"사당로20길",76828,1882,160,107,41,1315127424,89880,45,1.5,52.3
