Date,상권,행정동_코드,공실률
2014_2,광화문,11110530,2.6
2014_2,동대문,11110670,10
2014_2,명동,11140550,6.9
2014_2,종로,11110615,10.5
2014_2,종로,11110630,10.5
2014_2,충무로,11140570,7.3
2014_2,서초,11650510,6.4
2014_2,서초,11650520,6.4
2014_2,서초,11650530,6.4
2014_2,서초,11650531,6.4
2014_2,청담,11680565,10.6
2014_2,테헤란로,11680640,5.3
2014_2,테헤란로,11680650,5.3
2014_2,테헤란로,11680630,5.3
2014_2,테헤란로,11680610,5.3
2014_2,테헤란로,11680580,5.3
2014_2,테헤란로,11680590,5.3
2014_2,공덕역,11440565,4.2
2014_2,신촌,11410585,7.7
2014_2,영등포,11560535,12.7
2014_2,영등포,11560515,12.7
2014_2,홍대합정,11440660,7.7
2014_2,건대입구,11215710,4.6
2014_2,건대입구,11215840,4.6
2014_2,건대입구,11215820,4.6
2014_2,경희대,11230710,2.6
2014_2,경희대,11230740,2.6
2014_2,군자,11215780,7.5
2014_2,군자,11215730,7.5
2014_2,군자,11215740,7.5
2014_2,군자,11215750,7.5
2014_2,목동,11470510,5
2014_2,목동,11470520,5
2014_2,목동,11470530,5
2014_2,목동,11470540,5
2014_2,목동,11470550,5
2014_2,사당,11590620,1.5
2014_2,사당,11650610,1.5
2014_2,사당,11620630,1.5
2014_2,성신여대,11290575,9.5
2014_2,성신여대,11290600,9.5
2014_2,수유,11305610,6.8
2014_2,수유,11305620,6.8
2014_2,수유,11305630,6.8
2014_2,용산,11170530,9.4
2014_2,용산,11170520,9.4
2014_2,용산,11170625,9.4
2014_2,용산,11170690,9.4
2014_2,이태원,11170650,9.8
2014_2,이태원,11170660,9.8
2014_2,잠실,11710650,10.1
2014_2,잠실,11710670,10.1
2014_2,잠실,11710680,10.1
2014_2,잠실,11710690,10.1
2014_2,잠실,11710710,10.1
2014_2,잠실,11710720,10.1
2014_2,장안동,11230650,2.6
2014_2,장안동,11230660,2.6
2014_2,천호,11740600,4
2014_2,천호,11740610,4
2014_2,천호,11740620,4
2014_2,청량리,11230705,6.7
2014_2,혜화동,11110650,3
2014_2,화곡,11500540,18.4
2014_2,화곡,11500550,18.4
2014_2,화곡,11500560,18.4
2014_2,화곡,11500570,18.4
2014_2,화곡,11500590,18.4
2014_2,화곡,11500591,18.4
2014_2,화곡,11500615,18.4
2014_2,화곡,11500593,18.4
2014_3,광화문,11110530,2.3
2014_3,동대문,11110670,11.2
2014_3,명동,11140550,6.4
2014_3,종로,11110615,8.8
2014_3,종로,11110630,8.8
2014_3,충무로,11140570,4
2014_3,서초,11650510,5.1
2014_3,서초,11650520,5.1
2014_3,서초,11650530,5.1
2014_3,서초,11650531,5.1
2014_3,청담,11680565,4.5
2014_3,테헤란로,11680640,5.3
2014_3,테헤란로,11680650,5.3
2014_3,테헤란로,11680630,5.3
2014_3,테헤란로,11680610,5.3
2014_3,테헤란로,11680580,5.3
2014_3,테헤란로,11680590,5.3
2014_3,공덕역,11440565,4.2
2014_3,신촌,11410585,8.3
2014_3,영등포,11560535,11.9
2014_3,영등포,11560515,11.9
2014_3,홍대합정,11440660,5.5
2014_3,건대입구,11215710,4.1
2014_3,건대입구,11215840,4.1
2014_3,건대입구,11215820,4.1
2014_3,경희대,11230710,2.8
2014_3,경희대,11230740,2.8
2014_3,군자,11215780,8.8
2014_3,군자,11215730,8.8
2014_3,군자,11215740,8.8
2014_3,군자,11215750,8.8
2014_3,목동,11470510,2.3
2014_3,목동,11470520,2.3
2014_3,목동,11470530,2.3
2014_3,목동,11470540,2.3
2014_3,목동,11470550,2.3
2014_3,사당,11590620,3
2014_3,사당,11650610,3
2014_3,사당,11620630,3
2014_3,성신여대,11290575,6.4
2014_3,성신여대,11290600,6.4
2014_3,수유,11305610,6.2
2014_3,수유,11305620,6.2
2014_3,수유,11305630,6.2
2014_3,용산,11170530,12.3
2014_3,용산,11170520,12.3
2014_3,용산,11170625,12.3
2014_3,용산,11170690,12.3
2014_3,이태원,11170650,9.8
2014_3,이태원,11170660,9.8
2014_3,잠실,11710650,9.2
2014_3,잠실,11710670,9.2
2014_3,잠실,11710680,9.2
2014_3,잠실,11710690,9.2
2014_3,잠실,11710710,9.2
2014_3,잠실,11710720,9.2
2014_3,장안동,11230650,2.6
2014_3,장안동,11230660,2.6
2014_3,천호,11740600,3.3
2014_3,천호,11740610,3.3
2014_3,천호,11740620,3.3
2014_3,청량리,11230705,8.1
2014_3,혜화동,11110650,3.1
2014_3,화곡,11500540,17.9
2014_3,화곡,11500550,17.9
2014_3,화곡,11500560,17.9
2014_3,화곡,11500570,17.9
2014_3,화곡,11500590,17.9
2014_3,화곡,11500591,17.9
2014_3,화곡,11500615,17.9
2014_3,화곡,11500593,17.9
2014_4,광화문,11110530,2.3
2014_4,동대문,11110670,13.1
2014_4,명동,11140550,6.4
2014_4,종로,11110615,11.6
2014_4,종로,11110630,11.6
2014_4,충무로,11140570,4.8
2014_4,서초,11650510,9.2
2014_4,서초,11650520,9.2
2014_4,서초,11650530,9.2
2014_4,서초,11650531,9.2
2014_4,청담,11680565,4.5
2014_4,테헤란로,11680640,6
2014_4,테헤란로,11680650,6
2014_4,테헤란로,11680630,6
2014_4,테헤란로,11680610,6
2014_4,테헤란로,11680580,6
2014_4,테헤란로,11680590,6
2014_4,공덕역,11440565,4.8
2014_4,신촌,11410585,7.5
2014_4,영등포,11560535,10.6
