Date,상권_코드_명,총_상주인구_수
2019_1,강남 마이스 관광특구,26
2019_1,잠실 관광특구,7083
2019_1,종로·청계 관광특구,1930
2019_1,동대문패션타운 관광특구,2012
2019_1,명동 남대문 북창동 다동 무교동 관광특구,1118
2019_1,이태원 관광특구,5396
2019_1,길동복조리시장,3178
2019_1,둔촌역전통시장,613
2019_1,성내골목시장,954
2019_1,천호시장,139
2019_1,동서울시장,180
2019_1,고분다리골목시장,351
2019_1,양지골목시장,843
2019_1,암사종합시장,887
2019_1,고덕전통시장,316
2019_1,명일골목시장,2011
2019_1,새마을시장,2387
2019_1,석촌시장,839
2019_1,방이시장,5244
2019_1,마천시장,958
2019_1,풍납시장,2267
2019_1,강남개포시장,8
2019_1,도곡시장,235
2019_1,청담삼익시장,167
2019_1,논현종합시장,85
2019_1,영동전통시장,1171
2019_1,강남시장_강남,287
2019_1,양재시장,94
2019_1,남부종합시장,177
2019_1,우림시장,75
2019_1,미성동도깨비시장,649
2019_1,신신림시장,49
2019_1,삼성동시장,174
2019_1,신림중앙시장,53
2019_1,강남골목시장,587
2019_1,신림종합시장,3
2019_1,관악신사시장,2249
2019_1,신원시장,418
2019_1,인헌시장,1476
2019_1,봉천중앙시장,449
2019_1,봉천현대시장,13
2019_1,봉일시장,100
2019_1,봉천제일종합시장,427
2019_1,낙성대시장,613
2019_1,중부시장,649
2019_1,사당시장,7
2019_1,남성역골목시장,563
2019_1,남성사계시장,572
2019_1,흑석시장,1055
2019_1,상도4동도깨비골목시장,1920
2019_1,성대시장,178
2019_1,영도시장,56
2019_1,상도전통시장,1623
2019_1,강남시장_동작,120
2019_1,신노량진시장,16
2019_1,본동인정시장,442
2019_1,노량진중앙시장,165
2019_1,대림중앙시장,402
2019_1,우리시장,333
2019_1,영진시장A동,123
2019_1,사러가시장,91
2019_1,대신시장,107
2019_1,영일시장,721
2019_1,도림시장,67
2019_1,영등포청과시장,287
2019_1,영등포전통시장,2332
2019_1,은행나무시장,403
2019_1,박미시장,287
2019_1,현대시장,2195
2019_1,대명시장,10
2019_1,푸른터시장,43
2019_1,남문시장,1682
2019_1,독산동 우시장,86
2019_1,오류시장,159
2019_1,개봉중앙시장,370
2019_1,고척근린시장,611
2019_1,가리봉시장,256
2019_1,남구로시장,657
2019_1,구로시장,123
2019_1,공항시장,172
2019_1,방신전통시장,588
2019_1,송화골목시장,522
2019_1,까치산시장,1150
2019_1,화곡본동시장,353
2019_1,남부골목시장,1877
2019_1,화곡중앙골목시장,1056
2019_1,신월중앙시장,70
2019_1,등마루시장,4
2019_1,신정3동골목시장,263
2019_1,신정2동골목시장,473
2019_1,신정제일시장,169
2019_1,신월7동골목시장,127
2019_1,신월6동골목시장,168
2019_1,신곡종합시장,62
2019_1,신월3동골목시장,342
2019_1,경창시장,365
2019_1,월정로시장,1666
2019_1,신영시장,1199
2019_1,목4동시장,1159
2019_1,목3동시장,1169
2019_1,목2동시장,1213
2019_1,동진시장,36
2019_1,망원월드컵시장,807
2019_1,망원시장,1975
2019_1,합정시장,87
2019_1,영진시장,250
2019_1,서교시장,25
2019_1,신수시장,68
2019_1,아현시장,406
2019_1,마포시장,9
2019_1,공덕시장,12
2019_1,백련시장,155
2019_1,모래내시장,384
2019_1,포방터시장,510
2019_1,인왕시장,308
2019_1,아현가구거리상점가,128
2019_1,영천시장,360
2019_1,수일시장,114
2019_1,증산종합시장,164
2019_1,대림골목시장,606
2019_1,신응암시장,210
2019_1,녹번시장,15
2019_1,대조시장,482
2019_1,역촌중앙시장,11
2019_1,갈현시장,177
2019_1,연서시장,256
2019_1,상계중앙시장,1972
2019_1,공릉동도깨비시장,1582
2019_1,방학동도깨비시장,1000
2019_1,쌍문역골목시장,763
2019_1,백운시장,374
2019_1,신도봉시장,174
2019_1,창동골목시장,1245
2019_1,창동신창시장,2295
2019_1,수유북부시장,63
2019_1,장미원골목시장,1479
2019_1,수유중앙시장,49
2019_1,강북종합시장,734
2019_1,우이시장,1669
2019_1,수유전통시장,628
2019_1,번동북부골목시장,1164
2019_1,솔샘시장,138
2019_1,숭인시장,232
2019_1,방천골목시장,1530
2019_1,동북시장,30
2019_1,석관황금시장,1847
2019_1,석관시장,158
2019_1,새석관시장,80
2019_1,번동시장,30
2019_1,장위전통시장,1115
2019_1,밤나무골시장,236
2019_1,길음시장,17
2019_1,정릉시장,1419
2019_1,정릉아리랑시장,1058
2019_1,돈암제일시장,218
2019_1,유영시장,116
2019_1,우림골목시장,2088
2019_1,묵1동도깨비시장,1448
2019_1,태능시장,967
2019_1,중화제일시장,1890
2019_1,사가정시장,1864
2019_1,면목골목시장,1289
2019_1,동원시장,2118
2019_1,동부골목시장,1529
2019_1,이문제일시장,73
2019_1,이경시장,235
2019_1,회기시장,1222
2019_1,청량리청과물시장,58
2019_1,전곡시장,237
2019_1,답십리시장,438
2019_1,답십리현대시장,322
2019_1,전농로터리시장,92
2019_1,청량리종합시장,96
2019_1,청량리전통시장,167
2019_1,청량리농수산물시장,177
2019_1,서울약령시장,2074
2019_1,동서시장,3
2019_1,경동시장,8
2019_1,청량리수산시장,479
2019_1,용두시장,22
2019_1,구의시장,158
2019_1,조양시장,78
2019_1,영동교골목시장,954
2019_1,능동로골목시장,368
2019_1,노룬산골목시장,194
2019_1,자양종합시장,59
2019_1,자양골목시장,2013
2019_1,신성골목시장,99
2019_1,면곡골목시장,452
2019_1,중곡제일시장,802
2019_1,화양제일골목시장,928
2019_1,한아름시장,12
2019_1,성동용답상가시장,1990
2019_1,뚝도시장,572
2019_1,금남시장,255
2019_1,행당시장,1537
2019_1,마장축산물시장,335
2019_1,보광시장,4
2019_1,이태원제일시장,45
2019_1,이태원시장,63
2019_1,이촌종합시장,99
2019_1,용문전통시장,466
2019_1,만리시장,32
2019_1,신흥시장,97
2019_1,후암시장,285
