Date,상권_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수
2015_1,계동길,107573,64734,42835,2003,15359,32361,30315,21387,6148
2015_1,난계로27길,151355,92716,58639,1456,18019,35058,36753,36690,23379
2015_1,돈화문로11가길,103288,63994,39294,572,12625,25734,27179,22812,14366
2015_1,명륜길,103836,54747,49090,7241,39300,19219,18074,14365,5638
2015_1,백석동길,12427,7151,5277,661,3690,867,4627,2479,102
2015_1,북촌로11길,56133,33124,23010,1048,8145,16072,15393,11321,4153
2015_1,북촌로5길,56488,33660,22828,889,10082,18301,15315,9171,2729
2015_1,북촌로5나길,27273,16663,10609,413,3386,8608,8169,5564,1136
2015_1,삼청로5길,12528,7282,5246,177,1858,4159,3829,2206,300
2015_1,성균관로5길,95005,49723,45283,5956,29818,18370,17613,14471,8775
2015_1,숭인동길,208083,116856,91228,4731,27189,47630,50625,48614,29298
2015_1,옥인길,78240,40937,37300,3092,10779,20823,21927,16457,5160
2015_1,율곡로10길,46259,29510,16749,37,5137,11587,12636,10983,5879
2015_1,율곡로16길,66336,37956,28380,1433,13726,17109,15855,12383,5827
2015_1,이화장길,138623,73637,64988,4171,32542,37138,31619,23175,9978
2015_1,자하문로7길,147162,78548,68613,8986,21172,35668,38055,28493,14785
2015_1,종로24길,125223,78377,46846,1515,18543,25909,30513,28868,19874
2015_1,종로58가길,401038,206874,194166,14389,80839,95370,81669,74320,54451
2015_1,종로65길,200546,112347,88201,2921,25068,43998,49064,50270,29229
2015_1,지봉로8길,343729,177582,166148,11484,46564,77174,88730,79678,40098
2015_1,창경궁로35길,266999,131124,135874,9541,70628,66820,55475,42209,22325
2015_1,창신2길,105981,60244,45737,989,15537,27100,27488,23970,10896
2015_1,창신5길,377288,206233,171055,8155,61438,102170,92043,76020,37466
2015_1,창신길,215002,113842,101156,4882,30383,49928,61308,49804,18696
2015_1,통일로12길,72602,36403,36199,1499,5430,15412,22589,19563,8107
2015_1,평창길,9619,6066,3553,61,442,1641,3238,3268,968
2015_1,필운대로1길,36812,20387,16425,1427,5413,9504,10355,7377,2739
2015_1,난계로11길,344679,196232,148450,2715,41070,85664,86067,83874,45288
2015_1,난계로21길,99190,57224,41968,353,10740,26916,25434,24105,11640
2015_1,다산로33길,521757,290701,231052,6662,82243,144026,136973,107254,44600
2015_1,다산로36길,132994,70196,62798,3234,16653,32864,37351,30512,12379
2015_1,다산로38길,371131,201555,169576,10126,49266,92384,101165,80702,37487
2015_1,다산로39길,310072,172653,137423,5086,42110,82404,83585,67954,28933
2015_1,동호로10길,307325,155110,152211,13062,41701,75137,75144,62765,39513
2015_1,동호로11길,113257,56847,56409,3869,16918,29736,27639,22172,12922
2015_1,동호로15길,125544,64604,60940,3459,18861,33515,31425,24866,13415
2015_1,동호로20길,123027,68342,54686,1978,22162,34387,31150,23559,9793
2015_1,동호로8길,349040,173045,175996,16756,63960,84276,75247,62149,46654
2015_1,명동길,203568,121449,82120,3091,32188,57013,54216,36790,20270
2015_1,삼일대로4길,193472,122041,71434,2250,26842,50761,55111,38656,19851
2015_1,장충단로8길,244534,142047,102485,3150,47440,65289,61042,45388,22225
2015_1,청구로17길,235530,122768,112766,9601,31463,55673,59128,49797,29870
2015_1,청구로1길,346484,180280,166203,14996,46252,81910,89222,73339,40758
2015_1,퇴계로12길,57154,32641,24513,365,7607,17432,16526,10411,4814
2015_1,퇴계로18길,46589,27336,19252,634,7000,12926,13257,9074,3696
2015_1,퇴계로46길,278356,177321,101036,3804,43986,76804,73040,54096,26627
2015_1,퇴계로56길,226150,135031,91119,3065,44197,61150,56826,40995,19917
2015_1,퇴계로8길,140888,79051,61838,834,16738,40132,42254,27761,13166
2015_1,퇴계로90길,251651,138507,113144,5575,35103,59510,61733,57252,32487
2015_1,녹사평대로11길,9835,6630,3205,22,299,2898,3863,2288,464
2015_1,녹사평대로26길,72796,41511,31285,293,14231,19616,17288,14510,6857
2015_1,녹사평대로32길,102083,59191,42893,458,21721,27069,22183,18785,11869
2015_1,녹사평대로40나길,131524,74097,57429,785,30090,35488,28574,23140,13450
2015_1,녹사평대로46길,107595,59541,48055,547,24022,30039,24124,19395,9467
2015_1,대사관로34길,71390,38596,32795,153,10009,21654,18576,14199,6794
2015_1,두텁바위로1길,231297,128282,103014,8414,41100,59960,57949,42648,21231
2015_1,백범로79길,459072,244587,214484,16669,75418,125929,114852,81542,44660
2015_1,백범로90길,82018,52999,29020,728,11520,26141,23102,14769,5759
2015_1,서빙고로71길,122334,72411,49920,3190,11080,33612,39708,26240,8507
