상권_코드_명,행정동_코드
강남개포시장,11680670
화곡본동시장,11500590
까치산시장,11500593
송화골목시장,11500611
중부시장,11620575
방신전통시장,11500630
공항시장,11500640
독산동 우시장,11545610
남문시장,11545630
푸른터시장,11545630
대명시장,11545670
현대시장,11545670
박미시장,11545690
은행나무시장,11545710
강남시장_강남,11680510
녹번시장,11380580
신응암시장,11380590
대림골목시장,11380600
새마을시장,11710650
노량진중앙시장,11590510
본동인정시장,11590510
신노량진시장,11590520
강남시장_동작,11590530
상도전통시장,11590530
영도시장,11590540
성대시장,11590550
증산종합시장,11380640
수일시장,11380650
관악신사시장,11620685
신림종합시장,11620685
강남골목시장,11620725
신림중앙시장,11620725
삼성동시장,11620745
신신림시장,11620745
미성동도깨비시장,11620765
우림시장,11620775
영진시장A동,11560680
우리시장,11560700
대림중앙시장,11560710
구로시장,11530550
남구로시장,11530550
가리봉시장,11530595
고척근린시장,11530730
개봉중앙시장,11530750
오류시장,11530770
풍납시장,11710510
마천시장,11710550
방이시장,11710562
석촌시장,11710600
목4동시장,11470540
신영시장,11470560
월정로시장,11470560
상도4동도깨비골목시장,11590560
흑석시장,11590605
남성사계시장,11590630
사당시장,11590650
남부종합시장,11650590
양재시장,11650651
등마루시장,11500520
신월중앙시장,11500535
종로·청계 관광특구,11110615
남성역골목시장,11590650
잠실 관광특구,11710566
강남 마이스 관광특구,11680580
이태원 관광특구,11170650
명동 남대문 북창동 다동 무교동 관광특구,11140520
동대문패션타운 관광특구,11140590
삼양로93길,11305660
덕릉로60길,11320513
도당로13가길,11320700
도당로13바길,11320700
도당로19길,11320690
도당로29길,11320690
도봉로156길,11320522
도봉로169나길,11320521
도봉로181길,11320521
도봉산4길,11320521
도봉산길,11320521
명동길,11140550
삼일대로4길,11140605
독산로50길,11545700
청림3길,11620545
행운1길,11620575
목동중앙북로16길,11470520
목동중앙북로8길,11470530
오패산로4길,11290725
노해로17길,11305630
노해로23길,11305620
성덕정17길,11200670
성덕정길,11200650
성수이로18길,11200690
목동로9길,11470650
목동중앙남로3가길,11470540
목동중앙로13나길,11470520
목동중앙로3길,11470540
사당로29길,11590640
원신길,11620745
소담길,11620595
금하로24길,11545710
남부순환로112길,11545510
독산로108길,11545630
독산로40길,11545700
답십리로23길,11230560
답십리로56길,11230610
답십리로60길,11230610
답십리로63길,11230660
장한로26가길,11230660
장한로26길,11230650
장한로27가길,11230660
장한로27길,11230660
면목로17길,11215760
아차산로40길,11215820
여의대방로22길,11590680
여의대방로22나길,11590680
여의대방로22카길,11590680
여의대방로24길,11590660
구로중앙로19길,11530530
서초대로4길,11650610
서초대로64길,11650510
답십리로68길,11230650
답십리로69길,11230660
답십리로72길,11230650
망우로18가길,11230730
망우로18길,11230730
망우로21길,11230720
무학로45길,11230536
사가정로13길,11230570
사가정로23가길,11230660
사가정로2길,11230600
서울시립대로16길,11230560
서울시립대로29길,11230560
한천로124나길,11305590
겸재로29길,11260565
겸재로36길,11260565
겸재로54길,11260565
삼양로24길,11305555
동일로130길,11260600
동일로139가길,11260610
동일로139길,11260610
구로중앙로28길,11530560
구로중앙로34길,11530560
왕십리로31길,11200520
왕십리로6길,11200660
용답29길,11200790
용답중앙길,11200790
장터길,11200615
무학로16길,11230536
오패산로52길,11305545
공릉로2길,11260620
답십리로75길,11260540
면목로78길,11260565
봉우재로33길,11260590
봉화산로4길,11260610
봉화산로56길,11260680
사가정로42길,11260570
사가정로54길,11260570
신내로7가길,11260580
도봉로152가길,11320522
동일로140길,11260600
동일로149길,11260630
동일로157길,11260630
가산로3길,11545610
가산로5길,11545510
금하로14길,11545670
금하로1길,11545610
청계천로10나길,11200540
한강대로104길,11170530
한강대로15길,11170625
