Date,상권_코드_명,집객시설_수,상권_구분
2019_1,강남 마이스 관광특구,52,U
2019_1,잠실 관광특구,242,U
2019_1,종로·청계 관광특구,327,U
2019_1,동대문패션타운 관광특구,165,U
2019_1,명동 남대문 북창동 다동 무교동 관광특구,593,U
2019_1,이태원 관광특구,144,U
2019_1,길동복조리시장,17,R
2019_1,둔촌역전통시장,36,R
2019_1,성내골목시장,5,R
2019_1,천호시장,10,R
2019_1,고분다리골목시장,3,R
2019_1,양지골목시장,6,R
2019_1,암사종합시장,12,R
2019_1,고덕전통시장,12,R
2019_1,명일골목시장,3,R
2019_1,새마을시장,19,R
2019_1,석촌시장,6,R
2019_1,방이시장,42,R
2019_1,마천시장,4,R
2019_1,풍납시장,6,R
2019_1,강남개포시장,4,R
2019_1,도곡시장,7,R
2019_1,청담삼익시장,3,R
2019_1,영동전통시장,7,R
2019_1,양재시장,5,R
2019_1,남부종합시장,2,R
2019_1,우림시장,2,R
2019_1,미성동도깨비시장,12,R
2019_1,신신림시장,2,R
2019_1,삼성동시장,2,R
2019_1,신림중앙시장,3,R
2019_1,강남골목시장,1,R
2019_1,관악신사시장,13,R
2019_1,신원시장,10,R
2019_1,인헌시장,22,R
2019_1,봉천중앙시장,6,R
2019_1,봉천현대시장,2,R
2019_1,봉일시장,4,R
2019_1,봉천제일종합시장,2,R
2019_1,낙성대시장,4,R
2019_1,중부시장,14,R
2019_1,사당시장,7,R
2019_1,남성역골목시장,30,R
2019_1,남성사계시장,36,R
2019_1,흑석시장,25,R
2019_1,상도4동도깨비골목시장,16,R
2019_1,성대시장,18,R
2019_1,영도시장,6,R
2019_1,상도전통시장,19,R
2019_1,신노량진시장,4,R
2019_1,본동인정시장,19,R
2019_1,노량진중앙시장,9,R
2019_1,사러가시장,8,R
2019_1,대신시장,1,R
2019_1,영일시장,1,R
2019_1,영등포청과시장,1,R
2019_1,영등포전통시장,132,R
2019_1,은행나무시장,11,R
2019_1,박미시장,2,R
2019_1,현대시장,24,R
2019_1,남문시장,9,R
2019_1,독산동 우시장,6,R
2019_1,오류시장,15,R
2019_1,개봉중앙시장,3,R
2019_1,고척근린시장,17,R
2019_1,가리봉시장,2,R
2019_1,남구로시장,27,R
2019_1,공항시장,1,R
2019_1,방신전통시장,5,R
2019_1,송화골목시장,30,R
2019_1,까치산시장,34,R
2019_1,화곡본동시장,10,R
2019_1,남부골목시장,16,R
2019_1,화곡중앙골목시장,15,R
2019_1,신월중앙시장,1,R
2019_1,등마루시장,1,R
2019_1,신정3동골목시장,20,R
2019_1,신정제일시장,5,R
2019_1,신월7동골목시장,6,R
2019_1,신월6동골목시장,20,R
2019_1,신월3동골목시장,1,R
2019_1,경창시장,6,R
2019_1,월정로시장,4,R
2019_1,신영시장,8,R
2019_1,목4동시장,4,R
2019_1,목3동시장,37,R
2019_1,목2동시장,24,R
2019_1,마포농수산물시장,4,R
2019_1,동진시장,2,R
2019_1,망원월드컵시장,12,R
2019_1,망원시장,13,R
2019_1,서교시장,2,R
2019_1,신수시장,3,R
2019_1,아현시장,20,R
2019_1,공덕시장,10,R
2019_1,모래내시장,2,R
2019_1,포방터시장,3,R
2019_1,인왕시장,9,R
2019_1,아현가구거리상점가,9,R
2019_1,영천시장,17,R
2019_1,수일시장,6,R
2019_1,대림골목시장,11,R
2019_1,신응암시장,5,R
2019_1,녹번시장,2,R
2019_1,대조시장,6,R
2019_1,갈현시장,3,R
2019_1,연서시장,18,R
2019_1,상계중앙시장,18,R
2019_1,상계시장,1,R
2019_1,공릉동도깨비시장,20,R
2019_1,방학동도깨비시장,13,R
2019_1,쌍문역골목시장,2,R
2019_1,백운시장,4,R
2019_1,신도봉시장,1,R
2019_1,창동골목시장,13,R
2019_1,창동신창시장,14,R
2019_1,수유북부시장,1,R
2019_1,장미원골목시장,8,R
2019_1,수유중앙시장,1,R
2019_1,강북종합시장,8,R
2019_1,우이시장,5,R
2019_1,수유전통시장,19,R
2019_1,번동북부골목시장,4,R
2019_1,솔샘시장,6,R
2019_1,숭인시장,29,R
2019_1,방천골목시장,8,R
2019_1,동북시장,12,R
2019_1,석관황금시장,3,R
2019_1,석관시장,1,R
2019_1,새석관시장,1,R
2019_1,번동시장,1,R
2019_1,장위전통시장,10,R
2019_1,밤나무골시장,3,R
2019_1,길음시장,6,R
2019_1,정릉시장,20,R
2019_1,정릉아리랑시장,12,R
2019_1,돈암제일시장,23,R
2019_1,우림골목시장,43,R
2019_1,묵1동도깨비시장,1,R
2019_1,태능시장,14,R
2019_1,중화제일시장,5,R
2019_1,사가정시장,28,R
2019_1,면목골목시장,12,R
2019_1,동원시장,43,R
2019_1,동부골목시장,25,R
2019_1,이경시장,4,R
2019_1,회기시장,13,R
2019_1,청량리청과물시장,4,R
2019_1,전곡시장,5,R
2019_1,답십리시장,13,R
2019_1,동부시장,6,R
2019_1,전농로터리시장,8,R
2019_1,청량리종합시장,3,R
2019_1,서울약령시장,40,R
2019_1,동서시장,1,R
2019_1,경동시장,11,R
2019_1,청량리수산시장,14,R
2019_1,동부청과시장,1,R
2019_1,구의시장,3,R
2019_1,조양시장,2,R
2019_1,영동교골목시장,4,R
2019_1,노룬산골목시장,8,R
2019_1,자양골목시장,1,R
2019_1,신성골목시장,10,R
2019_1,면곡골목시장,5,R
2019_1,중곡제일시장,17,R
2019_1,화양제일골목시장,4,R
2019_1,한아름시장,7,R
2019_1,성동용답상가시장,10,R
2019_1,뚝도시장,12,R
2019_1,금남시장,17,R
2019_1,행당시장,38,R
2019_1,마장축산물시장,4,R
2019_1,보광시장,3,R
2019_1,이태원시장,3,R
2019_1,이촌종합시장,7,R
2019_1,용문전통시장,6,R
2019_1,만리시장,1,R
2019_1,신흥시장,2,R
2019_1,후암시장,2,R
2019_1,합동(새벽)시장,5,R
2019_1,서울중앙시장,10,R
2019_1,백학시장,7,R
2019_1,약수시장,27,R
2019_1,청평화시장,1,R
2019_1,제일평화시장,5,R
2019_1,동평화시장,5,R
2019_1,남평화시장,1,R
2019_1,방산종합시장,30,R
2019_1,평화시장,20,R
2019_1,인현시장,3,R
2019_1,신중부시장,23,R
2019_1,남대문시장,70,R
2019_1,신설종합시장,1,R
2019_1,동묘시장,17,R
2019_1,창신골목시장,14,R
2019_1,충신시장,2,R
2019_1,종로신진시장,9,R
2019_1,동대문종합시장,16,R
2019_1,광장시장,20,R
2019_1,통인시장,16,R
2019_1,서울 노원구 노원역_3,73,D
2019_1,서울 노원구 노원역_2,37,D
2019_1,서울 노원구 노원역_1,56,D
2019_1,창동역,74,D
2019_1,서울 강북구 수유역_3,16,D
2019_1,등나무근린공원 주변,12,D
2019_1,서울 강북구 수유역_2,77,D
2019_1,서울 강북구 수유역_1,69,D
2019_1,서울 은평구 연신내역_3,8,D
2019_1,서울 은평구 연신내역_2,57,D
2019_1,서울 은평구 연신내역_1,25,D
2019_1,서울 성북구 미아삼거리역_2,31,D
2019_1,서울 강북구 미아삼거리역_1,66,D
2019_1,서울 은평구 불광역_3,26,D
2019_1,서울 은평구 불광역_2,30,D
2019_1,서울 은평구 불광역_1,43,D
2019_1,미아사거리_2,12,D
2019_1,미아사거리_1,9,D
2019_1,서울 성북구 성신여대입구역,56,D
2019_1,경희대학교,11,D
2019_1,서울 성북구 안암역,15,D
2019_1,혜화역 대학로_3,47,D
2019_1,혜화역 대학로_2,21,D
2019_1,혜화역 대학로_1,49,D
2019_1,디지털미디어시티,58,D
2019_1,서울 동대문구 청량리역,107,D
2019_1,서울 종로구 경복궁역_2,22,D
