총_유동인구_수,남성_유동인구_수,여성_유동인구_수,남성_상주인구_수,여성_상주인구_수,총_가구_수,아파트_가구_수,비_아파트_가구_수,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,운영_영업_개월_평균,폐업_영업_개월_평균,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,지하철_역_수,버스_정거장_수,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,남성_매출_금액,여성_매출_금액,주중_매출_건수,주말_매출_건수,점포수,임대료_전체,공실률
-0.382940914,-0.395932743,-0.367206856,-0.873869764,-0.834053451,-0.904971213,-0.515135479,-0.829239375,-0.326401253,-0.28853431,-0.371011372,-0.213181694,0.901526095,-0.283315374,-0.515870295,-0.19785732,-0.28105715,-0.222359022,0.265430307,-0.593125789,-0.119671642,-0.064304624,-0.052468345,-0.064304624,-0.253458593,-0.20875557,-0.254457467,-0.198808589,-0.434919126,-0.091129144,-0.211478297,1.591199632,-0.304226977,-0.288226424,-0.313760559,-0.26791647,-0.343984958,-0.26931517,-0.298673018,-0.249880709,-0.260075321,-0.066647073,1.8
-0.219400521,-0.204411381,-0.231815509,-0.929032758,-0.878505147,-0.939180018,-0.515135479,-0.864501689,-0.350478136,-0.313358121,-0.392129603,-0.002566712,0.901526095,-0.218947947,-0.515870295,-0.531591179,-0.28105715,-0.222359022,-0.076692916,-0.593125789,-0.119671642,-0.064304624,-0.052468345,-0.064304624,-0.253458593,-0.20875557,-0.254457467,-0.198808589,-0.434919126,-0.091129144,-0.211478297,0.550213438,-0.103288748,-0.093363754,-0.107167712,-0.089447655,-0.049098117,-0.14944346,-0.097132222,-0.080063721,-0.185177585,-0.066647073,1.8
0.489635777,0.598669882,0.381259335,0.11623525,0.362101281,0.12266129,3.833139373,-0.644464849,4.793166074,4.483469513,5.013345763,1.155815688,0.598870164,1.154223812,2.301748771,2.80574741,-0.28105715,-0.222359022,1.633923197,-0.593125789,-0.119671642,-0.064304624,-0.052468345,-0.064304624,-0.253458593,4.262604535,1.055144303,-0.198808589,-0.434919126,-0.091129144,5.388851501,1.93819503,0.806574995,0.991963188,1.038785942,0.218162713,0.788370382,0.379810221,1.258679306,0.332589952,1.425123735,-0.066647073,1.8
-0.548467042,-0.573486594,-0.519810678,-0.90498735,-0.847523662,-0.969283767,-0.515135479,-0.895532525,-0.372206054,-0.326517732,-0.427502641,-1.318910348,-0.157769664,-0.3476828,-0.515870295,-0.531591179,-0.28105715,-0.222359022,-0.418816139,0.117308184,7.142901142,15.5456428,19.05256789,15.5456428,-0.253458593,-0.20875557,-0.0673715,-0.104318555,-0.434919126,-0.091129144,-0.211478297,-0.143777359,-0.422181777,-0.46135651,-0.429478418,-0.385893557,-0.47245838,-0.349983296,-0.471186326,-0.415728481,-0.5045944,-0.066647073,1.8
-0.010546188,0.029174627,-0.048391792,-1.368922271,-1.37420891,-1.396209653,-0.515135479,-1.335606204,-0.148075726,-0.104000679,-0.215792369,1.577045652,2.717461681,0.059977566,0.423336061,1.804545833,-0.28105715,-0.222359022,0.265430307,0.117308184,7.142901142,-0.064304624,-0.052468345,-0.064304624,-0.253458593,-0.20875557,0.306800434,-0.387788658,-0.434919126,-0.091129144,-0.211478297,1.591199632,-0.129842085,-0.003636788,-0.053107956,-0.306497307,-0.19379301,-0.215621143,0.094472815,-0.22768088,-0.271089694,-0.066647073,1.8
-0.556603154,-0.569853593,-0.539121493,-1.378823321,-1.37420891,-1.403051414,-0.508122133,-1.34406916,1.64398816,1.675388043,1.476569919,2.682774306,0.447542198,-0.304771182,-0.515870295,0.135876539,-0.28105715,-0.222359022,-0.076692916,-0.593125789,-0.119671642,-0.064304624,-0.052468345,-0.064304624,-0.253458593,-0.20875557,-0.254457467,-0.482278692,-0.434919126,-0.091129144,-0.211478297,0.897208836,-0.359880302,-0.354182379,-0.333163574,-0.407269709,-0.394969649,-0.345731729,-0.33057043,-0.390365185,-0.418682291,1.529525555,4.7
7.528915104,8.407716057,6.624353318,0.993185406,0.067103662,1.277550547,1.455614897,1.024147851,2.595905875,2.431317952,2.709610669,2.208890597,1.809493888,4.58715321,4.180161481,6.810553718,-0.28105715,-0.222359022,10.87125021,-0.593125789,-0.119671642,-0.064304624,-0.052468345,-0.064304624,-0.253458593,-0.20875557,1.24223027,4.714673193,-0.434919126,-0.091129144,13.7893462,11.30707078,4.112120566,3.52644464,4.597995455,2.790272527,4.79572578,3.17871617,3.959395781,2.359903169,8.24302057,1.529525555,4.7
-0.30633391,-0.267932439,-0.340351414,-1.214748776,-1.323022109,-1.256637729,-0.515135479,-1.191735963,-0.05773848,-0.068260373,-0.035231489,1.261123179,0.296214233,-0.197492139,0.423336061,-0.531591179,-0.28105715,-0.222359022,0.265430307,-0.593125789,-0.119671642,-0.064304624,-0.052468345,-0.064304624,-0.253458593,-0.20875557,0.306800434,-0.387788658,-0.434919126,-0.091129144,2.588686602,0.897208836,-0.219938217,-0.339215922,-0.200263671,-0.256866389,-0.221016271,-0.208391446,-0.324319986,-0.35622992,0.085775989,1.529525555,4.7
0.730869789,1.060165153,0.410055535,1.031375171,-0.295245013,1.523853943,-0.515135479,1.674384922,-0.19202093,-0.176228997,-0.206817121,0.523970743,0.750198129,0.982577342,3.240955126,-0.19785732,-0.28105715,-0.222359022,1.291799974,-0.593125789,-0.119671642,-0.064304624,-0.052468345,-0.064304624,-0.253458593,-0.20875557,0.493886401,3.76977285,-0.434919126,-0.091129144,2.588686602,-0.143777359,0.529023274,0.58334176,0.511627206,0.546611756,1.005190438,0.178412555,0.572686519,0.57840752,1.270922515,1.529525555,4.7
-0.476793124,-0.466094521,-0.48287546,-0.465097837,-0.699351342,-0.386365729,-0.452015361,-0.307357127,-0.267089909,-0.241279345,-0.294457782,0.471316997,-0.006441698,-0.090213095,-0.515870295,-0.531591179,-0.28105715,-0.222359022,-0.418816139,0.117308184,14.40547393,-0.064304624,-0.052468345,-0.064304624,-0.253458593,-0.20875557,-0.0673715,0.840581788,-0.434919126,-0.091129144,-0.211478297,0.550213438,-0.332225872,-0.389723878,-0.323626908,-0.337775163,-0.31171099,-0.326481029,-0.394469458,-0.359312017,-0.279901192,1.529525555,4.7
