Date,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,남성_상주인구_수,여성_상주인구_수,총_가구_수,아파트_가구_수,비_아파트_가구_수,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,운영_영업_개월_평균,폐업_영업_개월_평균,집객시설_수,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,남성_매출_금액,여성_매출_금액,주중_매출_건수,주말_매출_건수,점포수,임대료_전체,공실률
2017_1,156275,79010,77267,358,403,367,0,367,473,255,218,94,56,14,8533368974,446332,6326360786,2207008188,3236196974,3760725524,332528,113804,160,112442,1.8
2017_1,271411,145170,126240,319,370,342,0,342,227,89,138,98,56,17,16198387655,763993,11948793513,4249594142,7654072064,6055046402,564622,199371,194,112442,1.8
2017_1,770588,422590,347998,1058,1291,1118,620,498,52781,32166,20615,120,54,81,50906181367,2533270,43135968701,7770212666,20200685564,16184857464,2125972,407298,925,112442,1.8
2017_1,39741,17675,22068,336,393,320,0,320,5,1,4,73,49,11,4033848148,164099,3177094576,856753572,1311460240,2216753490,133862,30237,49,112442,1.8
2017_1,418449,225861,192587,8,2,8,0,8,2295,1489,806,128,68,30,15185480234,910264,13420031959,1765448275,5486311846,4788418609,785274,124990,155,112442,1.8
2017_1,34013,18930,15083,1,2,3,1,2,20605,13388,7217,149,53,13,6410409216,338812,5798306942,612102274,2472364993,2298127643,295795,43017,88,172490,4.7
2017_1,5726394,3120182,2606215,1678,1072,1962,281,1681,30331,18443,11888,140,62,241,1.77E+11,6664928,1.40E+11,37208158885,80237259399,69755365277,5236112,1428816,4020,172490,4.7
2017_1,210208,123227,86981,117,40,110,0,110,3218,1728,1490,122,52,18,11748660205,363210,9415183194,2333477011,5078463981,4926793584,302993,60217,317,172490,4.7
2017_1,940422,582011,358414,1705,803,2142,0,2142,1846,1006,840,108,55,73,40318653365,1867144,28789322317,11529331048,23448995742,12330145859,1335984,531160,855,172490,4.7
2017_1,90201,54773,35428,647,503,746,9,737,1079,571,508,107,50,23,7465319101,280873,6057847705,1407471396,3719712464,2666582248,222209,58664,151,172490,4.7
2017_1,526821,274392,252429,441,366,485,175,310,21106,13041,8065,137,61,85,67094484564,2679164,50597272817,16497211747,26702864200,29411488784,2017873,661291,1255,172490,4.7
2017_1,573326,332709,240615,132,35,149,0,149,3445,1488,1957,120,54,44,22183433984,1235921,17584328294,4599105690,11565504931,7081913577,994267,241654,353,172490,4.7
2017_1,199285,107550,91735,24,28,41,0,41,199,142,57,199,81,20,12826023240,197172,9928449542,2897573698,4921297798,6423588279,139276,57896,500,172490,4.7
2017_1,629024,347171,281854,305,251,354,101,253,15806,9092,6714,105,59,81,75625703738,3841029,66614990471,9010713267,28440845517,24542445551,3379225,461804,867,172490,4.7
2017_1,44538,25689,18849,161,124,174,0,174,683,368,315,139,62,14,7147474522,332631,5743670860,1403803662,3520630725,2048002837,280698,51933,216,172490,4.7
2017_1,2315891,1235033,1080857,78,35,93,0,93,2111,935,1176,101,54,42,66289142405,2895524,51868650309,14420492096,31114448159,27388096567,2250406,645118,624,172490,4.7
2017_1,58497,37042,21456,169,132,176,0,176,2312,1725,587,117,49,8,1417135773,64264,1109451089,307684684,612635427,525329659,49733,14531,74,172490,4.7
2017_1,665550,366644,298902,502,316,579,0,579,5230,3538,1692,130,53,88,20291126656,747073,17075348957,3215777699,10033146113,6499734617,632318,114755,436,257306,4.7
2017_1,201551,117792,83760,78,41,91,0,91,28,11,17,139,65,12,11177234046,294847,8615585502,2561648544,5141686403,4660834836,236980,57867,297,257306,4.7
2017_1,67106,41421,25685,87,85,83,0,83,340,206,134,172,73,2,223246751,7726,166624659,56622092,91504068,97091397,6332,1394,14,257306,4.7
2017_1,186620,110731,75889,19,17,29,0,29,485,305,180,136,66,21,10138221257,160223,7775033811,2363187446,5372245249,3639832012,126199,34024,147,257306,4.7
2017_1,145528,64356,81172,3,0,3,0,3,344,186,158,141,62,9,12047365454,236508,9687281705,2360083749,2876212758,5889594572,206389,30119,543,257306,4.7
2017_1,164583,90571,74014,6,19,22,0,22,55,40,15,132,70,5,4273630586,218203,2847084535,1426546051,2237609488,1636019207,140648,77555,66,257306,4.7
2017_1,669903,391643,278262,981,989,1076,0,1076,18935,12659,6276,96,56,51,31971968984,1817273,25876264565,6095704419,15161351178,10875977450,1543343,273930,612,257306,4.7
2017_1,81330,48339,32993,270,233,261,0,261,96,84,12,154,53,3,1258786806,100873,1078824983,179961823,671660047,284463864,84808,16065,33,257306,4.7
2017_1,254751,129213,125539,395,421,548,22,526,1367,786,581,97,49,12,5739366577,426012,4126196060,1613170517,2900826030,2517065815,303900,122112,131,111584,2.6
2017_1,255472,147450,108024,763,734,869,22,847,20,12,8,80,55,10,4678870594,642614,3597940411,1080930183,2761537119,1656224085,490102,152512,88,111584,2.6
2017_1,142101,77366,64735,498,512,623,0,623,138,78,60,100,44,3,3896256183,321465,2952281580,943974603,2013551743,1448921495,239166,82299,140,111584,2.6
2017_1,770373,373724,396649,307,373,468,0,468,1703,823,880,92,53,24,37366101500,2012578,25798152947,11567948553,15863586784,18998764838,1386929,625649,502,111584,2.6
2017_1,173089,85279,87806,413,539,654,0,654,1426,405,1021,84,65,13,4035642160,176202,3096634856,939007304,1471191863,2100872175,134576,41626,57,111584,2.6
2017_1,460327,269280,191045,56,35,62,0,62,23470,11511,11959,118,61,50,39672623386,1741461,35835120278,3837503108,15281236504,10415969342,1553428,188033,394,136287,5.5
2017_1,40578,20376,20203,393,394,429,0,429,2880,1285,1595,99,48,27,3933994004,189170,2683044040,1250949964,1837390619,1426951634,141486,47684,69,136287,5.5
2017_1,1636435,737476,898965,73,566,100,0,100,25479,11847,13632,140,53,131,1.88E+11,8128956,1.34E+11,54451468558,60642375678,1.00E+11,5935337,2193619,2207,136287,5.5
2017_1,163440,87572,75869,56,16,37,0,37,36555,18129,18426,163,58,30,8299055497,432538,6637683146,1661372351,2978244264,3526589982,344479,88059,133,136287,5.5
2017_1,293796,151985,141809,616,667,698,16,682,3694,1878,1816,105,48,56,16111257047,942589,13358183148,2753073899,6519999166,6258163856,820470,122119,283,136287,5.5
2017_1,153526,71995,81525,1141,1267,1148,5,1143,128,39,89,73,51,2,1498088413,77234,1056630175,441458238,636400431,707576829,53694,23540,86,87308,8.2
2017_1,97546,56688,40854,286,227,321,0,321,4416,3093,1323,118,58,30,13445767874,491826,10992973633,2452794241,5864351557,4463400414,410257,81569,204,87308,8.2
2017_1,114376,67806,46566,1753,1586,1938,0,1938,2649,1476,1173,113,58,11,5099734000,203632,3850569400,1249164600,2035749742,2678784292,161447,42185,85,94449,8.2
2017_1,288907,161286,127618,1545,1271,1630,16,1614,4287,3047,1240,106,58,17,9465515521,525089,7815762282,1649753239,3954374703,3120305297,421142,103947,168,94449,8.2
2017_1,162828,88954,73875,87,93,139,0,139,14242,6249,7993,123,52,39,19548372537,1247828,15005983225,4542389312,9119816321,8640465836,977837,269991,217,94449,8.2
2017_1,349413,205156,144260,520,542,821,0,821,458,209,249,114,52,16,9506893640,409224,7858314576,1648579064,4596061320,3638271395,330356,78868,128,97535,8.2
2017_1,33277,22613,10664,275,246,273,0,273,1788,345,1443,125,61,15,4642988760,301080,3885514479,757474281,2493108210,1003154689,245566,55514,65,97535,8.2
2017_1,96162,54700,41460,471,477,529,0,529,657,450,207,117,58,9,6082632791,305769,4946774427,1135858364,3163164784,1371003252,241395,64374,141,97535,8.2
2017_1,177215,104251,72964,301,342,418,0,418,1161,738,423,98,52,7,3182871591,173527,2682922788,499948803,1356892409,831624907,145383,28144,95,97535,8.2
2017_1,88335,56830,31503,198,152,206,0,206,8011,6075,1936,117,56,33,1.34E+11,3477884,93324343350,41173010082,60625963085,43671861071,2356470,1121414,1144,97535,8.2
2017_1,26729,17375,9350,414,359,443,0,443,598,399,199,100,58,9,2834007029,100199,2278582504,555424525,1157332020,891022458,85869,14330,56,97535,8.2
2017_1,314358,193019,121339,604,677,781,0,781,4557,2880,1677,84,51,12,12664658938,731780,10346481247,2318177691,7129232095,3095727186,590722,141058,216,97535,8.2
2017_1,28288,20121,8168,87,76,64,0,64,470,378,92,130,45,3,42580441851,234776,35861921328,6718520523,17789202508,6267952520,192968,41808,436,97535,8.2
2017_1,5544,2278,3266,52,62,59,0,59,99,68,31,64,52,3,2614979228,87430,1898371512,716607716,1120946685,1113240998,60976,26454,45,163840,14.9
2017_1,1934576,934154,1000417,3306,3642,4106,25,4081,5707,3283,2424,107,57,80,1.11E+11,4738992,66728539098,44626421266,48812004384,48774982559,2751578,1987414,1811,163840,14.9
2017_1,175355,81276,94078,305,307,309,0,309,315,172,143,112,58,2,6472510302,254326,3811476613,2661033689,2670510820,3093918619,156936,97390,170,163840,14.9
2017_1,737568,370579,366990,507,446,603,0,603,642,389,253,120,59,35,52145772004,2474884,29635218875,22510553129,24734886310,21603149048,1365191,1109693,724,163840,14.9
2017_1,102914,50406,52509,459,527,534,0,534,2092,1145,947,90,53,8,4504630990,308333,3452118076,1052512914,2187203009,1651590532,219635,88698,128,163840,14.9
2017_1,385023,179795,205226,332,363,358,0,358,555,318,237,107,59,14,18582140867,680592,9817625499,8764515368,9229803417,7306372302,349954,330638,188,163840,14.9
2017_1,147251,64976,82276,1041,1286,1309,28,1281,62,36,26,72,48,14,9022006064,506313,5875656107,3146349957,3639373889,4353149047,337997,168316,167,154438,14.9
2017_1,68815,30629,38187,363,408,382,0,382,55,32,23,79,57,4,6881375800,246072,4110770643,2770605157,2753510292,3052801989,147024,99048,110,154438,14.9
2017_1,91653,42272,49382,424,439,440,0,440,59,46,13,75,45,15,6681496617,463580,4047717173,2633779444,2805674366,3365523579,285048,178532,122,154438,14.9
2017_1,254817,125517,129305,1442,1531,1421,39,1382,99,46,53,92,58,7,3260071955,207607,2500495811,759576144,1489225270,1463031569,155927,51680,90,63328,10.2
2017_1,98612,52080,46531,495,541,573,0,573,155,70,85,87,50,15,5923101481,284680,4636396749,1286704732,2454776682,3129549533,212902,71778,154,63328,10.2
2017_1,128048,59693,68355,1209,1231,1035,238,797,3,3,0,103,60,2,1637325666,88286,1384177713,253147953,790006539,703627344,63278,25008,47,63328,10.2
2017_1,325893,169443,156452,1490,1471,1393,0,1393,4367,2494,1873,106,51,34,7926204791,408290,6137380409,1788824382,3579266543,3405636485,316928,91362,239,95305,10.2
2017_1,164885,82760,82123,210,244,243,0,243,655,281,374,106,50,23,10630832365,410555,7699788011,2931044354,5801458700,3549302604,293467,117088,124,95305,10.2
2017_1,325027,167212,157816,912,936,928,41,887,384,232,152,96,57,8,7209460016,190258,5112040444,2097419572,3638664347,2383910780,136892,53366,154,95305,10.2
2017_1,49533,25660,23873,6,7,12,0,12,133,71,62,111,53,5,2039324731,64057,1527991850,511332881,972360578,1009305441,46369,17688,19,137511,2.9
2017_1,297252,160408,136845,1225,1175,1887,9,1878,1010,568,442,120,45,33,6816253455,671908,4799996292,2016257163,4296133107,1992897075,478060,193848,154,137511,2.9
2017_1,370903,193354,177550,1800,2001,2532,0,2532,352,115,237,90,42,7,6920143771,598195,4858157999,2061985772,3576105001,2843266960,416630,181565,157,137511,2.9
2017_1,1785772,880467,905305,923,1155,1437,0,1437,2838,993,1845,73,50,47,76789473164,4456301,51591414313,25198058851,34309076031,40400776548,3005547,1450754,695,137511,2.9
2017_1,152493,89798,62693,728,643,818,0,818,59,30,29,91,54,1,4899027445,497280,3835991571,1063035874,2727731317,1612600170,395882,101398,116,137511,2.9
2017_1,250389,132015,118373,1117,1172,1739,0,1739,323,202,121,86,44,4,4039754018,277527,2863694327,1176059691,2177526614,1635942106,194788,82739,105,137511,2.9
2017_1,151059,77836,73221,791,915,1034,0,1034,181,106,75,93,50,40,25535365548,1229897,18688032178,6847333370,12703148855,10490347071,901957,327940,332,72291,2.1
2017_1,359708,198533,161174,379,283,346,78,268,97,61,36,85,49,13,8251780929,493178,5804087717,2447693212,4373172481,3258129098,356539,136639,189,72291,2.1
2017_1,108429,53874,54555,431,431,379,0,379,140,77,63,106,50,19,11035664237,538297,8197619942,2838044295,4334686159,5885205103,395876,142421,206,82647,2.1
2017_1,186373,99449,86923,2153,2066,2090,28,2062,218,195,23,103,43,2,1659746244,84211,1209804438,449941806,905997684,537376737,61579,22632,76,82647,2.1
2017_1,148266,73349,74918,2337,2426,2162,50,2112,523,245,278,97,52,23,10088249544,697498,7596513644,2491735900,4936634281,4665272466,514096,183402,206,82647,2.1
2017_1,228196,111664,116536,1497,1578,1288,0,1288,305,118,187,105,51,24,8295909987,329851,6238215904,2057694083,3532932284,4206389782,254711,75140,138,70930,2.1
2017_1,143099,72307,70795,2040,2191,1977,10,1967,542,250,292,108,50,17,7066553769,540658,5245066428,1821487341,3458167929,3195221057,407931,132727,127,70930,2.1
2017_1,106961,50140,56823,1869,1963,1623,74,1549,814,466,348,81,50,1,1853240340,127807,1325528135,527712205,974734514,753114682,91584,36223,76,70930,2.1
