Y_pred,Y_real,Mean,,,,,,,,,,,,,,,
42.2186882,43.7,1.481311797,,,,Y_pred,Y_real,Mean,,스태킹 앙상블 모델을 통한 회귀예측,,,,릿지 모델을 통한 회귀예측,,,
89.24759392,84,5.247593918,,,count,1155,1155,1155,,대상,임대료,,,대상,임대료,,
95.67904519,84.2,11.47904519,,,mean,46.386392,47.714632,4.576746,,총 데이터,5772,,,총 데이터,5772,,
56.90550849,68.4,11.49449151,,,std,26.059538,30.913329,11.367391,,학습데이터,4617,,,학습데이터,4617,,
40.22594841,46.5,6.274051589,,,min,20.072786,20.9,0.00134,,테스트데이터,1155,,,테스트데이터,1155,,
47.92575193,46.9,1.025751928,,,25%,31.197356,29.9,1.214251,,score,0.924073365,,,score,0.381110867,,
24.1603409,21,3.160340899,,,50%,42.983147,44.4,2.718925,,RMSE,0.127464458,,,RMSE,0.336811527,,
32.29905421,30.7,1.59905421,,,75%,53.350871,55.25,5.213186,,,,,,,,,
45.48048061,46.4,0.919519389,,,max,313.858737,295.1,211.964068,,,,,,라쏘 모델을 통한 회귀예측,,,
20.93322651,20.9,0.03322651,,,,,,,,,,,,대상,임대료,,
67.46896268,70.1,2.631037319,,,,,,,,,,,,총 데이터,5772,,
36.45147854,37,0.548521462,,,,,,,,,,,,학습데이터,4617,,
23.95285852,20.9,3.052858523,,,,,,,,,,,,테스트데이터,1155,,
42.94347199,46.4,3.456528005,,,,,,,,,,,,score,0.376682324,,
39.47149343,40.8,1.328506569,,,,,,,,,,,,RMSE,0.338014429,,
32.03373798,37.8,5.76626202,,,,,,,,,,,,,,,
41.95002581,35.4,6.55002581,,,,,,,,,,,,LGBM 모델을 통한 회귀예측,,,
48.7263095,51.7,2.973690505,,,,,,,,,,,,대상,임대료,,
47.00733548,46.9,0.107335483,,,,,,,,,,,,총 데이터,5772,,
26.76104865,25.2,1.561048653,,,,,,,,,,,,학습데이터,4617,,
38.07027161,52.4,14.32972839,,,,,,,,,,,,테스트데이터,1155,,
45.69271585,46.9,1.207284151,,,,,,,,,,,,score,0.772605263,,
43.81692368,43.8,0.016923685,,,,,,,,,,,,RMSE,0.204160031,,
45.74853557,44.4,1.348535566,,,,,,,,,,,,,,,
27.3180486,22.7,4.618048597,,,,,,,,,,,,XGBoost 모델을 통한 회귀예측,,,
43.42670497,39.2,4.226704972,,,,,,,,,,,,대상,임대료,,
57.66508121,45.3,12.36508121,,,,,,,,,,,,총 데이터,5772,,
32.28390028,33.5,1.21609972,,,,,,,,,,,,학습데이터,4617,,
29.75835532,26.4,3.358355319,,,,,,,,,,,,테스트데이터,1155,,
82.03013844,84.6,2.569861555,,,,,,,,,,,,score,0.888966398,,
57.53181537,55.8,1.731815375,,,,,,,,,,,,RMSE,0.142661811,,
30.17991765,27.8,2.379917646,,,,,,,,,,,,,,,
54.46222083,64.3,9.837779169,,,,,,,,,,,,,,,
69.27411849,69.6,0.325881508,,,,,,,,,,,,,,,
31.13146536,30.4,0.731465363,,,,,,,,,,,,,,,
56.89915171,58.9,2.000848291,,,,,,,,,,,,,,,
46.8362485,43.8,3.036248504,,,,,,,,,,,,,,,
54.39556553,51.7,2.695565535,,,,,,,,,,,,,,,
30.49632303,27.8,2.696323025,,,,,,,,,,,,,,,
36.47576038,39.2,2.724239619,,,,,,,,,,,,,,,
37.08769967,40.6,3.512300327,,,,,,,,,,,,,,,
46.48146171,46.6,0.118538293,,,,,,,,,,,,,,,
92.87512086,84.2,8.67512086,,,,,,,,,,,,,,,
46.52303985,43.5,3.02303985,,,,,,,,,,,,,,,
47.26021383,43.7,3.560213831,,,,,,,,,,,,,,,
43.30015012,41.1,2.200150115,,,,,,,,,,,,,,,
63.1998449,90.5,27.3001551,,,,,,,,,,,,,,,
38.70294337,39.9,1.197056631,,,,,,,,,,,,,,,
74.16529416,70.5,3.665294156,,,,,,,,,,,,,,,
53.08921693,52.1,0.989216932,,,,,,,,,,,,,,,
26.66722219,21,5.667222191,,,,,,,,,,,,,,,
41.89916828,37.4,4.499168278,,,,,,,,,,,,,,,
82.91773901,89,6.082260991,,,,,,,,,,,,,,,
23.71886925,22.7,1.01886925,,,,,,,,,,,,,,,
25.58887889,21,4.58887889,,,,,,,,,,,,,,,
47.76405801,47,0.76405801,,,,,,,,,,,,,,,
45.01797469,46.2,1.182025311,,,,,,,,,,,,,,,
25.1463428,26.1,0.953657202,,,,,,,,,,,,,,,
75.13237286,68.9,6.232372864,,,,,,,,,,,,,,,
23.98450337,26.1,2.115496632,,,,,,,,,,,,,,,
39.55853676,23.7,15.85853676,,,,,,,,,,,,,,,
41.10512135,47.7,6.594878654,,,,,,,,,,,,,,,
25.00350164,23.3,1.703501645,,,,,,,,,,,,,,,
72.42811829,69.3,3.128118288,,,,,,,,,,,,,,,
66.96827203,69.7,2.731727974,,,,,,,,,,,,,,,
34.32829989,33.5,0.828299886,,,,,,,,,,,,,,,
47.710328,36.7,11.010328,,,,,,,,,,,,,,,
71.86304277,73.4,1.536957225,,,,,,,,,,,,,,,
42.55889662,39.3,3.258896622,,,,,,,,,,,,,,,
29.69427651,21,8.694276511,,,,,,,,,,,,,,,
41.57665327,41.5,0.076653274,,,,,,,,,,,,,,,
35.84327273,38.5,2.656727266,,,,,,,,,,,,,,,
28.06841787,23.7,4.36841787,,,,,,,,,,,,,,,
24.51886928,22.7,1.818869279,,,,,,,,,,,,,,,
27.25031621,27.6,0.349683786,,,,,,,,,,,,,,,
35.62723471,39,3.372765287,,,,,,,,,,,,,,,
57.5535837,64.6,7.046416296,,,,,,,,,,,,,,,
34.86194386,33.3,1.561943857,,,,,,,,,,,,,,,
38.57139455,38,0.571394552,,,,,,,,,,,,,,,
55.85353365,64.9,9.046466353,,,,,,,,,,,,,,,
39.43680643,41.4,1.963193568,,,,,,,,,,,,,,,
25.94324993,26.4,0.456750066,,,,,,,,,,,,,,,
53.70914038,58.7,4.990859623,,,,,,,,,,,,,,,
35.26781007,38.3,3.03218993,,,,,,,,,,,,,,,
42.21243375,41.3,0.912433746,,,,,,,,,,,,,,,
47.22045079,46.4,0.820450788,,,,,,,,,,,,,,,
32.2494162,26.2,6.049416195,,,,,,,,,,,,,,,
28.37789548,26.1,2.277895481,,,,,,,,,,,,,,,
34.60840083,38.6,3.991599171,,,,,,,,,,,,,,,
73.11069133,69.1,4.010691333,,,,,,,,,,,,,,,
40.84409556,40.4,0.444095562,,,,,,,,,,,,,,,
27.4082199,26.3,1.108219896,,,,,,,,,,,,,,,
31.65328585,29.9,1.753285853,,,,,,,,,,,,,,,
41.39607975,49.6,8.203920249,,,,,,,,,,,,,,,
63.30964621,70.2,6.890353794,,,,,,,,,,,,,,,
38.45734505,37.4,1.057345047,,,,,,,,,,,,,,,
28.1080172,27,1.108017202,,,,,,,,,,,,,,,
52.83510684,58.7,5.86489316,,,,,,,,,,,,,,,
48.12593206,36.7,11.42593206,,,,,,,,,,,,,,,
63.00976463,70.8,7.790235373,,,,,,,,,,,,,,,
44.4583364,41.3,3.158336398,,,,,,,,,,,,,,,
46.69247551,46.9,0.207524493,,,,,,,,,,,,,,,
50.4897775,47.4,3.089777497,,,,,,,,,,,,,,,
29.69876531,30.7,1.001234691,,,,,,,,,,,,,,,
40.77574737,38.4,2.375747375,,,,,,,,,,,,,,,
45.11281336,46.9,1.787186643,,,,,,,,,,,,,,,
22.49353337,20.9,1.593533365,,,,,,,,,,,,,,,
49.7825755,54,4.2174245,,,,,,,,,,,,,,,
53.32365433,46.4,6.923654328,,,,,,,,,,,,,,,
29.81157122,29.9,0.088428777,,,,,,,,,,,,,,,
37.96350584,39,1.036494164,,,,,,,,,,,,,,,
48.26401047,45.3,2.964010472,,,,,,,,,,,,,,,
44.69006694,46.9,2.209933058,,,,,,,,,,,,,,,
42.40474525,47.7,5.29525475,,,,,,,,,,,,,,,
21.93560222,23.7,1.764397776,,,,,,,,,,,,,,,
35.03222431,37,1.967775689,,,,,,,,,,,,,,,
39.82353304,38.6,1.223533036,,,,,,,,,,,,,,,
41.75669628,38.7,3.056696282,,,,,,,,,,,,,,,
28.46389483,29.1,0.636105171,,,,,,,,,,,,,,,
27.17081778,26.2,0.970817779,,,,,,,,,,,,,,,
93.5623121,273.7,180.1376879,,,,,,,,,,,,,,,
63.03823309,69.6,6.561766909,,,,,,,,,,,,,,,
27.84873119,30.7,2.851268811,,,,,,,,,,,,,,,
36.13456424,39.2,3.065435757,,,,,,,,,,,,,,,
59.0758594,54.6,4.475859402,,,,,,,,,,,,,,,
59.34858541,69.6,10.25141459,,,,,,,,,,,,,,,
90.8102892,89,1.810289201,,,,,,,,,,,,,,,
30.50973234,26.3,4.209732341,,,,,,,,,,,,,,,
24.9740838,21,3.974083796,,,,,,,,,,,,,,,
66.58317628,69.7,3.11682372,,,,,,,,,,,,,,,
80.92306299,84.2,3.276937009,,,,,,,,,,,,,,,
43.40457966,41.5,1.904579656,,,,,,,,,,,,,,,
26.73267941,25.2,1.532679409,,,,,,,,,,,,,,,
51.75389493,49.4,2.353894932,,,,,,,,,,,,,,,
28.62223521,25,3.622235213,,,,,,,,,,,,,,,
62.17449589,68.4,6.225504106,,,,,,,,,,,,,,,
30.52295368,30.7,0.17704632,,,,,,,,,,,,,,,
